PLAYER,,OPP,STATUS ET,,C/A,YDS,TD,INT,,RUSH,YDS,TD,,REC,YDS,TD,TAR,,2PC,FUML,TD,,PTS
Todd Gurley II,,@Sea,W 42-7,,0/0,0,0,0,,21,152,3,,3,28,1,3,,0,0,0,,45
Kareem Hunt,,LAC,W 30-13,,0/0,0,0,0,,24,155,1,,7,51,1,9,,0,0,0,,39.6
Mark Ingram,,NYJ,W 31-19,,0/0,0,0,0,,12,74,2,,5,77,0,6,,0,0,0,,32.1
Keelan Cole,,Hou,W 45-7,,0/0,0,0,0,,0,0,0,,7,186,1,9,,0,0,0,,31.6
Sterling Shepard*,,Phi,L 29-34,,0/0,0,0,0,,0,0,0,,11,139,1,16,,0,0,0,,30.9
Devonta Freeman,,@TB,W 24-21,,0/0,0,0,0,,22,126,1,,5,68,0,7,,0,0,0,,30.4
Melvin Gordon,,@KC,L 13-30,,0/0,0,0,0,,19,78,1,,6,91,0,8,,0,0,0,,28.9
Rob Gronkowski,,@Pit,W 27-24,,0/0,0,0,0,,0,0,0,,9,168,0,13,,1,0,0,,27.8
Le'Veon Bell*,,NE,L 24-27,,0/0,0,0,0,,24,117,1,,5,48,0,6,,0,0,0,,27.5
Greg Olsen,,GB,W 31-24,,0/0,0,0,0,,0,0,0,,9,116,1,12,,0,0,0,,26.6
LeSean McCoy,,Mia,W 24-16,,0/0,0,0,0,,20,50,1,,4,46,1,5,,0,0,0,,25.6
Christian McCaffrey,,GB,W 31-24,,0/0,0,0,0,,12,63,0,,6,73,1,7,,0,0,0,,25.6
Michael Thomas,,NYJ,W 31-19,,0/0,0,0,0,,0,0,0,,9,93,1,11,,0,0,0,,24.3
Kenyan Drake,,@Buf,L 16-24,,0/0,0,0,0,,16,78,1,,6,35,0,11,,0,0,0,,23.3
Michael Crabtree,,Dal,L 17-20,,0/0,0,0,0,,0,0,0,,7,39,2,17,,0,0,0,,22.9
Marquise Goodwin,,Ten,W 25-23,,0/0,0,0,0,,1,10,0,,10,114,0,13,,0,0,0,,22.4
Jaydon Mickens,,Hou,W 45-7,,0/0,0,0,0,,0,0,0,,4,61,2,5,,0,0,0,,22.1
Rishard Matthews,,@SF,L 23-25,,0/0,0,0,0,,0,0,0,,6,95,1,8,,0,0,0,,21.5
Randall Cobb,,@Car,L 24-31,,0/0,0,0,0,,0,0,0,,7,84,1,14,,0,0,0,,21.4
Tavarres King*,,Phi,L 29-34,,0/0,0,0,0,,0,0,0,,2,70,2,3,,0,0,0,,21
Alvin Kamara,,NYJ,W 31-19,,0/0,0,0,0,,12,44,0,,6,45,1,7,,0,0,0,,20.9
