PLAYER,,OPP,STATUS ET,,C/A,YDS,TD,INT,,RUSH,YDS,TD,,REC,YDS,TD,TAR,,2PC,FUML,TD,,PTS
T.Y. Hilton,,@Hou,W 20-14,,0/0,0,0,0,,0,0,0,,5,175,2,8,,0,0,0,,34.5
Marvin Jones Jr.,,@GB,W 30-17,,0/0,0,0,0,,0,0,0,,7,107,2,11,,0,0,0,,29.7
Alshon Jeffery,,Den,W 51-23,,0/0,0,0,0,,0,0,0,,6,84,2,11,,0,0,0,,26.4
Doug Baldwin,,Wsh,L 14-17,,0/0,0,0,0,,0,0,0,,7,108,1,13,,0,0,0,,23.8
Terrance Williams,,KC,W 28-17,,0/0,0,0,0,,0,0,0,,9,141,0,9,,0,0,0,,23.1
Robert Woods,,@NYG,W 51-17,,0/0,0,0,0,,0,0,0,,4,70,2,5,,0,0,0,,23
Marqise Lee*,,Cin,W 23-7,,0/0,0,0,0,,0,0,0,,8,75,1,12,,0,0,0,,21.5
Deonte Thompson,,@NYJ,L 21-34,,0/0,0,0,0,,0,0,0,,7,81,1,10,,0,0,0,,21.1
Demaryius Thomas,,@Phi,L 23-51,,0/0,0,0,0,,0,0,0,,8,70,1,12,,0,0,0,,21
DeAndre Hopkins*,,Ind,L 14-20,,0/0,0,0,0,,0,0,0,,6,86,1,17,,0,0,0,,20.6
Cole Beasley*,,KC,W 28-17,,0/0,0,0,0,,0,0,0,,4,24,2,6,,0,0,0,,18.4
Golden Tate,,@GB,W 30-17,,0/0,0,0,0,,0,0,0,,7,113,0,9,,0,0,0,,18.3
Jeremy Maclin*,,@Ten,L 20-23,,0/0,0,0,0,,0,0,0,,8,98,0,9,,0,0,0,,17.8
Julio Jones,,@Car,L 17-20,,0/0,0,0,0,,0,0,0,,6,118,0,12,,0,0,0,,17.8
Zay Jones,,@NYJ,L 21-34,,0/0,0,0,0,,0,0,0,,6,53,1,7,,0,0,0,,17.3
Rishard Matthews,,Bal,W 23-20,,0/0,0,0,0,,0,0,0,,4,70,1,7,,0,0,0,,17
Ted Ginn Jr.,,TB,W 30-10,,0/0,0,0,0,,0,0,0,,4,59,1,5,,0,0,0,,15.9
Tyreek Hill*,,@Dal,L 17-28,,0/0,0,0,0,,4,9,0,,2,64,1,4,,0,0,0,,15.3
Jarvis Landry,,Oak,L 24-27,,0/0,0,0,0,,0,0,0,,6,32,1,7,,0,0,0,,15.2
Robby Anderson,,Buf,W 34-21,,0/0,0,0,0,,0,0,0,,4,48,1,5,,0,0,0,,14.8
Michael Thomas,,TB,W 30-10,,0/0,0,0,0,,0,0,0,,8,65,0,11,,0,0,0,,14.5
Sammy Watkins,,@NYG,W 51-17,,0/0,0,0,0,,0,0,0,,1,67,1,2,,0,0,0,,13.7
Devin Funchess,,Atl,W 20-17,,0/0,0,0,0,,0,0,0,,5,86,0,7,,0,0,0,,13.6
Dez Bryant,,KC,W 28-17,,0/0,0,0,0,,0,0,0,,6,73,0,12,,0,0,0,,13.3
DeVante Parker,,Oak,L 24-27,,0/0,0,0,0,,0,0,0,,5,76,0,8,,0,0,0,,12.6
Tavarres King*,,LAR,L 17-51,,0/0,0,0,0,,0,0,0,,3,33,1,6,,0,0,0,,12.3
Davante Adams*,,Det,L 17-30,,0/0,0,0,0,,0,0,0,,7,53,0,10,,0,0,0,,12.3
Larry Fitzgerald,,@SF,W 20-10,,0/0,0,0,0,,0,0,0,,5,70,0,9,,0,0,0,,12
Sterling Shepard*,,LAR,L 17-51,,0/0,0,0,0,,0,0,0,,5,70,0,9,,0,0,0,,12
Mike Wallace,,@Ten,L 20-23,,0/0,0,0,0,,0,0,0,,4,19,1,7,,0,0,0,,11.9
Johnny Holton,,@Mia,W 27-24,,0/0,0,0,0,,0,0,0,,1,44,1,1,,0,0,0,,11.4
Mohamed Sanu,,@Car,L 17-20,,0/0,0,0,0,,0,0,0,,3,23,1,3,,0,0,0,,11.3
Eric Decker,,Bal,W 23-20,,0/0,0,0,0,,0,0,0,,3,21,1,4,,0,0,0,,11.1
Randall Cobb,,Det,L 17-30,,0/0,0,0,0,,1,1,0,,5,58,0,5,,0,0,0,,10.9
Amari Cooper,,@Mia,W 27-24,,0/0,0,0,0,,0,0,0,,4,58,0,9,,0,0,0,,9.8
Taylor Gabriel,,@Car,L 17-20,,0/0,0,0,0,,1,3,0,,3,56,0,4,,0,0,0,,8.9
Josh Doctson,,@Sea,W 17-14,,0/0,0,0,0,,0,0,0,,3,59,0,5,,0,0,0,,8.9
Marquise Goodwin,,Ari,L 10-20,,0/0,0,0,0,,0,0,0,,2,68,0,8,,0,0,0,,8.8
Jordan Matthews*,,@NYJ,L 21-34,,0/0,0,0,0,,0,0,0,,6,46,0,8,,0,1,0,,8.6
Cooper Kupp,,@NYG,W 51-17,,0/0,0,0,0,,0,0,0,,3,54,0,5,,0,0,0,,8.4
Brian Quick,,@Sea,W 17-14,,0/0,0,0,0,,0,0,0,,3,49,0,3,,0,0,0,,7.9
Keelan Cole,,Cin,W 23-7,,0/0,0,0,0,,0,0,0,,3,47,0,5,,0,0,0,,7.7
Jordy Nelson*,,Det,L 17-30,,0/0,0,0,0,,0,0,0,,4,35,0,7,,0,0,0,,7.5
Jaron Brown,,@SF,W 20-10,,0/0,0,0,0,,0,0,0,,1,3,1,1,,0,0,0,,7.3
Paul Richardson,,Wsh,L 14-17,,0/0,0,0,0,,0,0,0,,3,41,0,3,,0,0,0,,7.1
Cody Latimer*,,@Phi,L 23-51,,0/0,0,0,0,,0,0,0,,2,51,0,3,,0,0,0,,7.1
De'Anthony Thomas*,,@Dal,L 17-28,,0/0,0,0,0,,0,0,0,,3,41,0,3,,0,0,0,,7.1
Michael Crabtree,,@Mia,W 27-24,,0/0,0,0,0,,0,0,0,,3,40,0,4,,0,0,0,,7
Ryan Grant,,@Sea,W 17-14,,0/0,0,0,0,,0,0,0,,3,39,0,3,,0,0,0,,6.9
Curtis Samuel*,,Atl,W 20-17,,0/0,0,0,0,,1,14,0,,3,23,0,5,,0,0,0,,6.7
John Brown,,@SF,W 20-10,,0/0,0,0,0,,0,0,0,,1,52,0,4,,0,0,0,,6.2
Allen Hurns,,Cin,W 23-7,,0/0,0,0,0,,0,0,0,,3,31,0,4,,0,0,0,,6.1
Kendrick Bourne,,Ari,L 10-20,,0/0,0,0,0,,0,0,0,,2,39,0,6,,0,0,0,,5.9
Jermaine Kearse,,Buf,W 34-21,,0/0,0,0,0,,0,0,0,,2,38,0,6,,0,0,0,,5.8
Kenny Stills,,Oak,L 24-27,,0/0,0,0,0,,0,0,0,,3,28,0,4,,0,0,0,,5.8
Breshad Perriman,,@Ten,L 20-23,,0/0,0,0,0,,0,0,0,,3,28,0,7,,0,0,0,,5.8
Nelson Agholor,,Den,W 51-23,,0/0,0,0,0,,0,0,0,,2,36,0,4,,0,0,0,,5.6
DeSean Jackson*,,@NO,L 10-30,,0/0,0,0,0,,1,8,0,,2,25,0,4,,0,0,0,,5.3
Bruce Ellington*,,Ind,L 14-20,,0/0,0,0,0,,0,0,0,,3,22,0,7,,0,0,0,,5.2
Will Fuller V,,Ind,L 14-20,,0/0,0,0,0,,0,0,0,,2,32,0,8,,0,0,0,,5.2
TJ Jones*,,@GB,W 30-17,,0/0,0,0,0,,0,0,0,,2,29,0,2,,0,0,0,,4.9
Brandon LaFell,,@Jax,L 7-23,,0/0,0,0,0,,0,0,0,,2,28,0,2,,0,0,0,,4.8
Seth Roberts,,@Mia,W 27-24,,0/0,0,0,0,,0,0,0,,2,28,0,2,,0,0,0,,4.8
Corey Davis,,Bal,W 23-20,,0/0,0,0,0,,0,0,0,,2,28,0,5,,0,0,0,,4.8
Justin Hardy,,@Car,L 17-20,,0/0,0,0,0,,0,0,0,,2,26,0,2,,0,0,0,,4.6
Tavon Austin,,@NYG,W 51-17,,0/0,0,0,0,,6,34,0,,0,9,0,0,,0,0,0,,4.3
Trent Taylor,,Ari,L 10-20,,0/0,0,0,0,,0,0,0,,2,22,0,3,,0,0,0,,4.2
Emmanuel Sanders*,,@Phi,L 23-51,,0/0,0,0,0,,0,0,0,,1,30,0,5,,0,0,0,,4
Aldrick Robinson,,Ari,L 10-20,,0/0,0,0,0,,0,0,0,,2,18,0,8,,0,0,0,,3.8
Demarcus Robinson,,@Dal,L 17-28,,0/0,0,0,0,,0,0,0,,2,18,0,2,,0,0,0,,3.8
Terrelle Pryor Sr.*,,@Sea,W 17-14,,0/0,0,0,0,,0,0,0,,2,17,0,3,,0,0,0,,3.7
Adam Humphries,,@NO,L 10-30,,0/0,0,0,0,,0,0,0,,2,14,0,2,,0,0,0,,3.4
Tyler Lockett,,Wsh,L 14-17,,0/0,0,0,0,,0,0,0,,2,10,0,7,,0,0,0,,3
Chester Rogers,,@Hou,W 20-14,,0/0,0,0,0,,0,0,0,,1,17,0,2,,0,0,0,,2.7
Andre Holmes*,,@NYJ,L 21-34,,0/0,0,0,0,,0,0,0,,1,16,0,3,,0,0,0,,2.6
Chris Moore,,@Ten,L 20-23,,0/0,0,0,0,,0,0,0,,1,16,0,4,,0,0,0,,2.6
J.J. Nelson,,@SF,W 20-10,,0/0,0,0,0,,0,0,0,,1,15,0,2,,0,0,0,,2.5
Bernard Reedy,,** BYE **,,0/0,0,0,0,,0,0,0,,1,15,0,1,,0,0,0,,2.5
Isaiah McKenzie,,@Phi,L 23-51,,0/0,0,0,0,,0,0,0,,1,14,0,3,,0,0,0,,2.4
Trevor Davis,,Det,L 17-30,,0/0,0,0,0,,1,9,0,,1,5,0,1,,0,0,0,,2.4
Mike Evans,,@NO,L 10-30,,0/0,0,0,0,,0,0,0,,1,13,0,6,,0,0,0,,2.3
Josh Malone,,@Jax,L 7-23,,0/0,0,0,0,,0,0,0,,1,13,0,4,,0,0,0,,2.3
Torrey Smith,,Den,W 51-23,,0/0,0,0,0,,0,0,0,,1,11,0,2,,0,0,0,,2.1
Tanner McEvoy,,Wsh,L 14-17,,0/0,0,0,0,,0,0,0,,1,10,0,2,,0,0,0,,2
Jehu Chesson,,@Dal,L 17-28,,0/0,0,0,0,,0,0,0,,1,10,0,1,,0,0,0,,2
Pharoh Cooper,,@NYG,W 51-17,,0/0,0,0,0,,0,0,0,,1,9,0,1,,0,0,0,,1.9
Chris Godwin,,@NO,L 10-30,,0/0,0,0,0,,0,0,0,,1,9,0,1,,0,0,0,,1.9
Mack Hollins,,Den,W 51-23,,0/0,0,0,0,,0,0,0,,1,8,0,1,,0,0,0,,1.8
Donte Moncrief*,,@Hou,W 20-14,,0/0,0,0,0,,0,0,0,,1,7,0,2,,0,0,0,,1.7
Brandon Coleman,,TB,W 30-10,,0/0,0,0,0,,0,0,0,,1,7,0,1,,0,0,0,,1.7
A.J. Green,,@Jax,L 7-23,,0/0,0,0,0,,0,0,0,,1,6,0,2,,0,0,0,,1.6
Brice Butler,,KC,W 28-17,,0/0,0,0,0,,0,0,0,,1,6,0,3,,0,0,0,,1.6
Roger Lewis,,LAR,L 17-51,,0/0,0,0,0,,0,0,0,,1,4,0,3,,0,0,0,,1.4
Russell Shepard,,Atl,W 20-17,,0/0,0,0,0,,1,11,0,,0,0,0,2,,0,0,0,,1.1
Taywan Taylor,,Bal,W 23-20,,0/0,0,0,0,,0,0,0,,1,-4,0,1,,0,0,0,,0.6
