PLAYER,,OPP,STATUS ET,,C/A,YDS,TD,INT,,RUSH,YDS,TD,,REC,YDS,TD,TAR,,2PC,FUML,TD,,PTS
C.J. Anderson,,Dal,W 42-17,,0/0,0,0,0,,25,118,1,,3,36,1,3,,0,0,0,,30.4
Ty Montgomery*,,@Atl,L 23-34,,0/0,0,0,0,,10,35,1,,6,75,1,7,,0,0,0,,29
Todd Gurley II,,Wsh,L 20-27,,0/0,0,0,0,,16,88,1,,3,48,1,4,,0,1,0,,26.6
Kareem Hunt,,Phi,W 27-20,,0/0,0,0,0,,13,81,2,,3,28,0,3,,0,0,0,,25.9
Chris Thompson*,,@LAR,W 27-20,,0/0,0,0,0,,3,77,2,,3,29,0,7,,0,0,0,,25.6
Devonta Freeman,,GB,W 34-23,,0/0,0,0,0,,19,84,2,,2,16,0,2,,0,0,0,,24
Javorius Allen,,Cle,W 24-10,,0/0,0,0,0,,14,66,0,,5,35,1,6,,0,0,0,,21.1
Melvin Gordon,,Mia,L 17-19,,0/0,0,0,0,,9,13,1,,7,65,0,8,,0,0,0,,20.8
Jalen Richard,,NYJ,W 45-20,,0/0,0,0,0,,6,58,1,,2,51,0,2,,0,0,0,,18.9
James White*,,@NO,W 36-20,,0/0,0,0,0,,2,11,0,,8,85,0,8,,0,0,0,,17.6
Carlos Hyde,,@Sea,L 9-12,,0/0,0,0,0,,15,124,0,,3,19,0,6,,0,0,0,,17.3
Derrick Henry,,@Jax,W 37-16,,0/0,0,0,0,,14,92,1,,0,0,0,0,,0,0,0,,15.2
Jay Ajayi,,@KC,L 20-27,,0/0,0,0,0,,28,122,0,,2,4,0,2,,0,0,0,,14.6
Leonard Fournette,,Ten,L 16-37,,0/0,0,0,0,,14,40,1,,2,21,0,5,,0,0,0,,14.1
Rex Burkhead*,,@NO,W 36-20,,0/0,0,0,0,,2,3,0,,3,41,1,4,,0,0,0,,13.4
Le'Veon Bell*,,Min,W 26-9,,0/0,0,0,0,,27,87,0,,4,4,0,4,,0,0,0,,13.1
Mike Gillislee*,,@NO,W 36-20,,0/0,0,0,0,,18,69,1,,0,0,0,0,,0,0,0,,12.9
Tarik Cohen,,@TB,L 7-29,,0/0,0,0,0,,7,13,0,,8,55,0,9,,0,1,0,,12.8
Jacquizz Rodgers,,Chi,W 29-7,,0/0,0,0,0,,19,67,1,,0,0,0,0,,0,0,0,,12.7
Terrance West,,Cle,W 24-10,,0/0,0,0,0,,8,22,1,,2,23,0,2,,0,0,0,,12.5
Tevin Coleman,,GB,W 34-23,,0/0,0,0,0,,6,42,0,,2,3,1,2,,0,0,0,,12.5
Matt Forte*,,@Oak,L 20-45,,0/0,0,0,0,,9,53,0,,3,38,0,3,,0,0,0,,12.1
Marshawn Lynch,,NYJ,W 45-20,,0/0,0,0,0,,12,45,1,,1,4,0,2,,0,0,0,,11.9
Lamar Miller,,@Cin,W 13-9,,0/0,0,0,0,,18,61,0,,3,26,0,3,,0,0,0,,11.7
Mark Ingram,,NE,L 20-36,,0/0,0,0,0,,8,52,0,,4,24,0,5,,0,0,0,,11.6
Duke Johnson Jr.,,@Bal,L 10-24,,0/0,0,0,0,,4,21,0,,3,59,0,6,,0,0,0,,11
Chris Carson*,,SF,W 12-9,,0/0,0,0,0,,20,93,0,,1,7,0,2,,0,0,0,,11
Frank Gore,,Ari,L 13-16,,0/0,0,0,0,,14,46,1,,0,0,0,2,,0,0,0,,10.6
LeSean McCoy,,@Car,L 3-9,,0/0,0,0,0,,12,9,0,,6,34,0,7,,0,0,0,,10.3
Ameer Abdullah,,@NYG,W 24-10,,0/0,0,0,0,,17,86,0,,0,0,0,0,,0,0,0,,8.6
Shane Vereen,,Det,L 10-24,,0/0,0,0,0,,6,28,0,,3,27,0,3,,0,0,0,,8.5
Alvin Kamara,,NE,L 20-36,,0/0,0,0,0,,1,3,0,,3,51,0,7,,0,0,0,,8.4
Dalvin Cook*,,@Pit,L 9-26,,0/0,0,0,0,,12,64,0,,2,0,0,3,,0,0,0,,8.4
Christian McCaffrey,,Buf,W 9-3,,0/0,0,0,0,,8,10,0,,4,34,0,5,,0,0,0,,8.4
Darren Sproles*,,@KC,L 20-27,,0/0,0,0,0,,10,48,0,,2,30,0,5,,0,1,0,,7.8
Chris Ivory,,Ten,L 16-37,,0/0,0,0,0,,6,17,0,,3,31,0,4,,0,0,0,,7.8
Rob Kelley*,,@LAR,W 27-20,,0/0,0,0,0,,12,78,0,,0,0,0,0,,0,0,0,,7.8
Samaje Perine,,@LAR,W 27-20,,0/0,0,0,0,,21,67,0,,1,0,0,1,,0,0,0,,7.7
Theo Riddick,,@NYG,W 24-10,,0/0,0,0,0,,9,20,0,,3,17,0,3,,0,0,0,,6.7
DeAndre Washington,,NYJ,W 45-20,,0/0,0,0,0,,6,20,0,,3,15,0,3,,0,0,0,,6.5
Jalston Fowler,,SF,W 12-9,,0/0,0,0,0,,1,3,1,,0,0,0,0,,0,0,0,,6.3
Jamaal Charles*,,Dal,W 42-17,,0/0,0,0,0,,9,46,0,,1,6,0,1,,0,0,0,,6.2
Ezekiel Elliott,,@Den,L 17-42,,0/0,0,0,0,,9,8,0,,4,14,0,5,,0,0,0,,6.2
C.J. Ham,,@Pit,L 9-26,,0/0,0,0,0,,1,1,1,,0,0,0,0,,0,0,0,,6.1
Jerick McKinnon,,@Pit,L 9-26,,0/0,0,0,0,,3,16,0,,3,9,0,5,,0,0,0,,5.5
Andre Ellington,,@Cin,W 13-9,,0/0,0,0,0,,2,11,0,,3,12,0,5,,0,0,0,,5.3
C.J. Prosise*,,SF,W 12-9,,0/0,0,0,0,,0,0,0,,3,22,0,6,,0,0,0,,5.2
Joe Mixon,,Hou,L 9-13,,0/0,0,0,0,,9,36,0,,1,5,0,1,,0,0,0,,5.1
Matt Breida,,@Sea,L 9-12,,0/0,0,0,0,,4,35,0,,1,3,0,2,,0,0,0,,4.8
Peyton Barber,,Chi,W 29-7,,0/0,0,0,0,,10,47,0,,0,0,0,0,,0,0,0,,4.7
Elijah McGuire,,@Oak,L 20-45,,0/0,0,0,0,,6,29,0,,1,7,0,2,,0,0,0,,4.6
Giovani Bernard,,Hou,L 9-13,,0/0,0,0,0,,5,10,0,,2,16,0,4,,0,0,0,,4.6
Tyler Ervin*,,@Cin,W 13-9,,0/0,0,0,0,,0,0,0,,3,16,0,5,,0,0,0,,4.6
Chris Johnson,,@Ind,W 16-13,,0/0,0,0,0,,11,44,0,,0,0,0,0,,0,0,0,,4.4
Paul Perkins,,Det,L 10-24,,0/0,0,0,0,,7,10,0,,2,12,0,2,,0,0,0,,4.2
Jonathan Stewart,,Buf,W 9-3,,0/0,0,0,0,,15,40,0,,0,0,0,1,,0,0,0,,4
D'Onta Foreman*,,@Cin,W 13-9,,0/0,0,0,0,,12,40,0,,0,0,0,0,,0,0,0,,4
DeMarco Murray*,,@Jax,W 37-16,,0/0,0,0,0,,9,25,0,,1,3,0,2,,0,0,0,,3.8
Isaiah Crowell,,@Bal,L 10-24,,0/0,0,0,0,,10,37,0,,0,0,0,1,,0,0,0,,3.7
Dion Lewis,,@NO,W 36-20,,0/0,0,0,0,,4,14,0,,1,11,0,1,,0,0,0,,3.5
Branden Oliver,,Mia,L 17-19,,0/0,0,0,0,,3,31,0,,0,0,0,0,,0,0,0,,3.1
Orleans Darkwa,,Det,L 10-24,,0/0,0,0,0,,3,17,0,,1,3,0,1,,0,0,0,,3
Robert Turbin*,,Ari,L 13-16,,0/0,0,0,0,,3,11,0,,1,8,0,1,,0,0,0,,2.9
Jeremy Hill*,,Hou,L 9-13,,0/0,0,0,0,,6,17,0,,1,2,0,1,,0,0,0,,2.9
Adrian Peterson*,,@Ind,W 16-13,,0/0,0,0,0,,8,26,0,,0,0,0,0,,0,0,0,,2.6
Kerwynn Williams,,@Ind,W 16-13,,0/0,0,0,0,,9,22,0,,0,0,0,0,,0,0,0,,2.2
Alex Collins,,Cle,W 24-10,,0/0,0,0,0,,7,42,0,,0,0,0,0,,0,1,0,,2.2
Jamaal Williams,,@Atl,L 23-34,,0/0,0,0,0,,2,6,0,,1,5,0,1,,0,0,0,,2.1
Marlon Mack,,Ari,L 13-16,,0/0,0,0,0,,6,-3,0,,1,11,0,1,,0,0,0,,1.8
David Fluellen,,@Jax,W 37-16,,0/0,0,0,0,,3,18,0,,0,0,0,0,,0,0,0,,1.8
Mike Tolbert,,@Car,L 3-9,,0/0,0,0,0,,3,5,0,,1,2,0,1,,0,0,0,,1.7
James Develin,,@NO,W 36-20,,0/0,0,0,0,,0,0,0,,1,6,0,1,,0,0,0,,1.6
Bilal Powell,,@Oak,L 20-45,,0/0,0,0,0,,6,13,0,,0,0,0,2,,0,0,0,,1.3
