PLAYER,,OPP,STATUS ET,,C/A,YDS,TD,INT,,RUSH,YDS,TD,,REC,YDS,TD,TAR,,2PC,FUML,TD,,PTS
Antonio Brown*,,@KC,W 19-13,,0/0,0,0,0,,0,0,0,,8,155,1,10,,0,0,0,,29.5
Larry Fitzgerald,,TB,W 38-33,,0/0,0,0,0,,0,0,0,,10,138,1,11,,0,1,0,,27.8
Golden Tate,,@NO,L 38-52,,0/0,0,0,0,,0,0,0,,7,96,1,8,,0,0,0,,22.6
Marvin Jones Jr.,,@NO,L 38-52,,0/0,0,0,0,,0,0,0,,6,96,1,15,,0,0,0,,21.6
Demaryius Thomas,,NYG,L 10-23,,0/0,0,0,0,,0,0,0,,10,133,0,14,,0,1,0,,21.3
Jarvis Landry,,@Atl,W 20-17,,0/0,0,0,0,,0,0,0,,8,62,1,14,,0,0,0,,20.2
Kelvin Benjamin,,** BYE **,,0/0,0,0,0,,0,0,0,,9,99,0,13,,0,0,0,,18.9
Adam Thielen,,GB,W 23-10,,0/0,0,0,0,,0,0,0,,9,96,0,13,,0,0,0,,18.6
Mike Evans,,@Ari,L 33-38,,0/0,0,0,0,,0,0,0,,3,95,1,8,,0,0,0,,18.5
Michael Crabtree,,LAC,L 16-17,,0/0,0,0,0,,0,0,0,,6,52,1,10,,0,0,0,,17.2
Ted Ginn Jr.,,Det,W 52-38,,0/0,0,0,0,,1,3,0,,4,66,1,4,,0,0,0,,16.9
Davante Adams*,,@Min,L 10-23,,0/0,0,0,0,,0,0,0,,5,54,1,10,,0,0,0,,16.4
Eric Decker,,Ind,W 36-22,,0/0,0,0,0,,0,0,0,,7,88,0,9,,0,0,0,,15.8
Nelson Agholor,,@Car,W 28-23,,0/0,0,0,0,,0,0,0,,4,55,1,7,,0,0,0,,15.5
Brandin Cooks,,@NYJ,W 24-17,,0/0,0,0,0,,0,0,0,,6,93,0,9,,0,0,0,,15.3
John Brown,,TB,W 38-33,,0/0,0,0,0,,0,0,0,,3,63,1,4,,0,0,0,,15.3
De'Anthony Thomas*,,Pit,L 13-19,,0/0,0,0,0,,0,0,0,,3,61,1,4,,0,0,0,,15.1
Marqise Lee*,,LAR,L 17-27,,0/0,0,0,0,,1,17,0,,5,83,0,10,,0,0,0,,15
Kenny Stills,,@Atl,W 20-17,,0/0,0,0,0,,0,0,0,,4,49,1,4,,0,0,0,,14.9
Aldrick Robinson,,@Wsh,L 24-26,,0/0,0,0,0,,0,0,0,,2,66,1,5,,0,0,0,,14.6
Will Fuller V,,Cle,W 33-17,,0/0,0,0,0,,0,0,0,,2,62,1,5,,0,0,0,,14.2
Jeremy Kerley,,NE,L 17-24,,0/0,0,0,0,,0,0,0,,2,61,1,3,,0,0,0,,14.1
Taywan Taylor,,Ind,W 36-22,,0/0,0,0,0,,0,0,0,,2,61,1,4,,0,0,0,,14.1
Julio Jones,,Mia,L 17-20,,0/0,0,0,0,,0,0,0,,6,72,0,7,,0,0,0,,13.2
Cordarrelle Patterson,,LAC,L 16-17,,0/0,0,0,0,,3,55,1,,1,5,0,1,,0,0,0,,13
DeSean Jackson*,,@Ari,L 33-38,,0/0,0,0,0,,0,0,0,,3,38,1,6,,0,0,0,,12.8
Emmanuel Sanders*,,NYG,L 10-23,,0/0,0,0,0,,0,0,0,,5,76,0,8,,0,0,0,,12.6
TJ Jones*,,@NO,L 38-52,,0/0,0,0,0,,0,0,0,,6,66,0,18,,0,0,0,,12.6
Jordy Nelson*,,@Min,L 10-23,,0/0,0,0,0,,0,0,0,,6,60,0,10,,0,0,0,,12
Jermaine Kearse,,NE,L 17-24,,0/0,0,0,0,,0,0,0,,4,79,0,4,,0,0,0,,11.9
Donte Moncrief*,,@Ten,L 22-36,,0/0,0,0,0,,0,0,0,,5,67,0,7,,0,0,0,,11.7
Robby Anderson,,NE,L 17-24,,0/0,0,0,0,,0,0,0,,4,76,0,12,,0,0,0,,11.6
Michael Campanaro,,Chi,L 24-27,,0/0,0,0,0,,0,0,0,,3,24,0,5,,0,0,1,,11.4
Alshon Jeffery,,@Car,W 28-23,,0/0,0,0,0,,0,0,0,,4,71,0,10,,0,0,0,,11.1
