PLAYER,,OPP,STATUS ET,,C/A,YDS,TD,INT,,RUSH,YDS,TD,,REC,YDS,TD,TAR,,2PC,FUML,TD,,PTS
Todd Gurley II,,@Ten,W 27-23,,0/0,0,0,0,,22,118,0,,10,158,2,13,,0,0,0,,49.6
Dion Lewis,,Buf,W 37-16,,0/0,0,0,0,,24,129,1,,5,24,1,5,,0,0,0,,32.3
Giovani Bernard,,Det,W 26-17,,0/0,0,0,0,,23,116,1,,7,52,0,7,,0,0,0,,29.8
C.J. Anderson,,@Wsh,L 11-27,,0/0,0,0,0,,16,88,1,,7,45,0,9,,1,0,0,,28.3
Larry Fitzgerald,,NYG,W 23-0,,1/1,21,0,0,,0,0,0,,9,119,1,15,,0,0,0,,27.7
Julio Jones,,@NO,L 13-23,,0/0,0,0,0,,0,0,0,,7,149,0,12,,0,0,0,,21.9
Melvin Gordon,,@NYJ,W 14-7,,0/0,0,0,0,,19,81,1,,3,47,0,3,,0,0,0,,21.8
Jakeem Grant,,@KC,L 13-29,,0/0,0,0,0,,1,3,0,,4,107,1,6,,0,0,0,,21
Le'Veon Bell*,,@Hou,W 34-6,,0/0,0,0,0,,14,69,1,,5,28,0,8,,0,0,0,,20.7
T.J. Yeldon,,@SF,L 33-44,,0/0,0,0,0,,5,13,1,,7,64,0,10,,0,0,0,,20.7
Kareem Hunt,,Mia,W 29-13,,0/0,0,0,0,,29,91,1,,4,15,0,4,,0,0,0,,20.6
Bilal Powell,,LAC,L 7-14,,0/0,0,0,0,,19,145,1,,0,0,0,1,,0,0,0,,20.5
Antonio Gates,,@NYJ,W 14-7,,0/0,0,0,0,,0,0,0,,6,81,1,8,,0,0,0,,20.1
LeSean McCoy,,@NE,L 16-37,,0/0,0,0,0,,17,71,0,,5,76,0,7,,0,0,0,,19.7
JuJu Smith-Schuster,,@Hou,W 34-6,,0/0,0,0,0,,0,0,0,,6,75,1,7,,0,0,0,,19.5
Eric Ebron,,@Cin,L 17-26,,0/0,0,0,0,,0,0,0,,5,83,1,8,,0,0,0,,19.3
Ted Ginn Jr.,,Atl,W 23-13,,0/0,0,0,0,,2,14,0,,4,76,1,5,,0,0,0,,19
Rob Gronkowski,,Buf,W 37-16,,0/0,0,0,0,,0,0,0,,5,67,1,7,,0,0,0,,17.7
Stefon Diggs,,@GB,W 16-0,,0/0,0,0,0,,1,3,0,,5,60,1,8,,0,0,0,,17.3
Zach Ertz,,Oak,W 19-10,,0/0,0,0,0,,0,0,0,,9,81,0,14,,0,0,0,,17.1
Duke Johnson Jr.,,@Chi,L 3-20,,0/0,0,0,0,,4,20,0,,7,81,0,7,,0,0,0,,17.1
Tyreek Hill*,,Mia,W 29-13,,0/0,0,0,0,,1,-1,0,,6,109,0,7,,0,0,0,,16.8
Keelan Cole,,@SF,L 33-44,,0/0,0,0,0,,0,0,0,,6,108,0,12,,0,0,0,,16.8
Mike Evans,,@Car,L 19-22,,0/0,0,0,0,,0,0,0,,6,107,0,8,,0,0,0,,16.7
Frank Gore,,@Bal,L 16-23,,0/0,0,0,0,,17,68,0,,2,18,1,2,,0,0,0,,16.6
DeAndre Hopkins*,,Pit,L 6-34,,0/0,0,0,0,,0,0,0,,4,65,1,6,,0,0,0,,16.5
Cooper Kupp,,@Ten,W 27-23,,0/0,0,0,0,,0,0,0,,4,65,1,6,,0,0,0,,16.5
Jordan Howard,,Cle,W 20-3,,0/0,0,0,0,,22,44,2,,0,0,0,0,,0,0,0,,16.4
Carlos Hyde,,Jax,W 44-33,,0/0,0,0,0,,21,54,1,,3,19,0,3,,0,0,0,,16.3
T.Y. Hilton,,@Bal,L 16-23,,0/0,0,0,0,,0,0,0,,6,100,0,12,,0,0,0,,16
