Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
,Antonio Brown,PIT,CIN,8,105,1,16.5
,A.J. Green,CIN,@PIT,6,90,1,15.0
,Julio Jones,ATL,@NE,6,90,1,15.0
,Michael Thomas,NO,@GB,6,90,1,15.0
,Michael Crabtree,OAK,KC,6,85,1,14.5
,Mike Evans,TB,@BUF,7,85,1,14.5
,Doug Baldwin,SEA,@NYG,6,80,1,14.0
,Pierre Garcon,SF,DAL,6,80,1,14.0
,Alshon Jeffery,PHI,WAS,6,80,1,14.0
,Jarvis Landry,MIA,NYJ,8,80,1,14.0
,Demaryius Thomas,DEN,@LAC,6,80,1,14.0
,Dez Bryant,DAL,@SF,6,75,1,13.5
,Tyreek Hill,KC,@OAK,5,65,1,13.5
,Robby Anderson,NYJ,@MIA,5,70,1,13.0
,Kelvin Benjamin,CAR,@CHI,6,70,1,13.0
,Randall Cobb,GB,NO,6,70,1,13.0
,Brandin Cooks,NE,ATL,5,70,1,13.0
,Larry Fitzgerald,ARI,@LAR,6,70,1,13.0
,Marqise Lee,JAC,@IND,5,65,1,12.5
,Rishard Matthews,TEN,@CLE,5,65,1,12.5
,John Brown,ARI,@LAR,4,60,1,12.0
,Martavis Bryant,PIT,CIN,4,60,1,12.0
,Devin Funchess,CAR,@CHI,4,60,1,12.0
,Robert Woods,LAR,ARI,4,55,1,11.5
,Adam Thielen,MIN,BAL,5,75,0,7.5
,Jordy Nelson,GB,NO,5,70,0,7.0
,Keenan Allen,LAC,DEN,6,65,0,6.5
,T.Y. Hilton,IND,JAC,4,65,0,6.5
,Cooper Kupp,LAR,ARI,6,65,0,6.5
,Danny Amendola,NE,ATL,6,60,0,6.0
,Kenny Stills,MIA,NYJ,5,60,0,6.0
,Amari Cooper,OAK,KC,4,55,0,5.5
,Bennie Fowler,DEN,@LAC,4,55,0,5.5
,Jermaine Kearse,NYJ,@MIA,4,55,0,5.5
,Jordan Matthews,BUF,TB,4,55,0,5.5
,Eric Decker,TEN,@CLE,4,50,0,5.0
,Chris Hogan,NE,ATL,4,50,0,5.0
,DeSean Jackson,TB,@BUF,4,50,0,5.0
,Tyler Lockett,SEA,@NYG,4,50,0,5.0
,Terrelle Pryor,WAS,@PHI,3,50,0,5.0
,Mike Wallace,BAL,@MIN,3,50,0,5.0
,Ted Ginn Jr.,NO,@GB,3,45,0,4.5
,Allen Hurns,JAC,@IND,3,45,0,4.5
,Donte Moncrief,IND,JAC,3,45,0,4.5
,Mohamed Sanu,ATL,@NE,3,45,0,4.5
,Sterling Shepard,NYG,SEA,3,45,0,4.5
,Davante Adams,GB,NO,3,40,0,4.0
,Cole Beasley,DAL,@SF,4,40,0,4.0
,Jaron Brown,ARI,@LAR,3,40,0,4.0
,Josh Doctson,WAS,@PHI,3,40,0,4.0
