Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
,Antonio Brown,PIT,TEN,9,120,1,18.0
,Brandin Cooks,NE,@OAK,6,100,1,16.0
,Mike Evans,TB,@MIA,8,100,1,16.0
,Michael Crabtree,OAK,NE,7,95,1,15.5
,Doug Baldwin,SEA,ATL,7,90,1,15.0
,Amari Cooper,OAK,NE,7,90,1,15.0
,Tyreek Hill,KC,@NYG,5,70,1,14.5
,Alshon Jeffery,PHI,@DAL,6,85,1,14.5
,Julio Jones,ATL,@SEA,5,85,1,14.5
,Dez Bryant,DAL,PHI,6,80,1,14.0
,Stefon Diggs,MIN,LAR,7,80,1,14.0
,DeAndre Hopkins,HOU,ARI,6,80,1,14.0
,Jarvis Landry,MIA,TB,8,80,1,14.0
,Marqise Lee,JAC,@CLE,6,80,1,14.0
,Golden Tate,DET,@CHI,8,80,1,14.0
,Adam Thielen,MIN,LAR,6,80,1,14.0
,Michael Thomas,NO,WAS,6,80,1,14.0
,Jamison Crowder,WAS,@NO,7,75,1,13.5
,Larry Fitzgerald,ARI,@HOU,7,75,1,13.5
,Jeremy Maclin,BAL,@GB,7,75,1,13.5
,DeVante Parker,MIA,TB,5,70,1,13.0
,Emmanuel Sanders,DEN,CIN,6,70,1,13.0
,Demaryius Thomas,DEN,CIN,6,70,1,13.0
,Robert Woods,LAR,@MIN,5,70,1,13.0
,Keenan Allen,LAC,BUF,6,65,1,12.5
,JuJu Smith-Schuster,PIT,TEN,5,65,1,12.5
,Danny Amendola,NE,@OAK,6,60,1,12.0
,Corey Davis,TEN,@PIT,4,60,1,12.0
,Marvin Jones,DET,@CHI,4,60,1,12.0
,Rishard Matthews,TEN,@PIT,4,60,1,12.0
,Cooper Kupp,LAR,@MIN,5,55,1,11.5
,Davante Adams,GB,BAL,4,50,1,11.0
,Dontrelle Inman,CHI,DET,3,50,1,11.0
,Mohamed Sanu,ATL,@SEA,4,50,1,11.0
,A.J. Green,CIN,@DEN,6,80,0,8.0
,Randall Cobb,GB,BAL,4,45,0,5.5
,Ted Ginn Jr.,NO,WAS,4,55,0,5.5
,Roger Lewis,NYG,KC,4,55,0,5.5
,Paul Richardson,SEA,ATL,4,55,0,5.5
,Kelvin Benjamin,BUF,@LAC,4,50,0,5.0
,Bruce Ellington,HOU,ARI,4,50,0,5.0
,DeSean Jackson,TB,@MIA,4,50,0,5.0
,Tavarres King,NYG,KC,4,50,0,5.0
,Sammy Watkins,LAR,@MIN,3,50,0,5.0
,Nelson Agholor,PHI,@DAL,3,45,0,4.5
,Josh Doctson,WAS,@NO,4,45,0,4.5
,Brandon LaFell,CIN,@DEN,3,45,0,4.5
,Jordan Matthews,BUF,@LAC,3,45,0,4.5
,Jordy Nelson,GB,BAL,4,45,0,4.5
,Cole Beasley,DAL,PHI,4,40,0,4.0
