Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
,Antonio Brown,PIT,@KC,7,100,1,16.0
,Julio Jones,ATL,MIA,6,100,1,16.0
,Michael Thomas,NO,DET,7,95,1,15.5
,T.Y. Hilton,IND,@TEN,6,90,1,15.0
,DeAndre Hopkins,HOU,CLE,6,90,1,15.0
,Brandin Cooks,NE,@NYJ,6,80,1,14.0
,Michael Crabtree,OAK,LAC,6,80,1,14.0
,Tyreek Hill,KC,PIT,6,70,1,14.0
,DeSean Jackson,TB,@ARI,6,80,1,14.0
,Jordy Nelson,GB,@MIN,6,80,1,14.0
,Adam Thielen,MIN,GB,6,80,1,14.0
,Larry Fitzgerald,ARI,TB,7,75,1,13.5
,Devin Funchess,CAR,PHI,5,75,1,13.5
,Davante Adams,GB,@MIN,5,70,1,13.0
,Keenan Allen,LAC,@OAK,6,70,1,13.0
,Randall Cobb,GB,@MIN,6,70,1,13.0
,Pierre Garcon,SF,@WAS,5,70,1,13.0
,Alshon Jeffery,PHI,@CAR,5,70,1,13.0
,Jermaine Kearse,NYJ,NE,5,70,1,13.0
,Jarvis Landry,MIA,@ATL,7,70,1,13.0
,Emmanuel Sanders,DEN,NYG,5,70,1,13.0
,Golden Tate,DET,@NO,6,70,1,13.0
,Demaryius Thomas,DEN,NYG,6,70,1,13.0
,Kelvin Benjamin,CAR,PHI,5,65,1,12.5
,Tyrell Williams,LAC,@OAK,6,65,1,12.5
,Martavis Bryant,PIT,@KC,4,60,1,12.0
,Chris Hogan,NE,@NYJ,5,60,1,12.0
,Cooper Kupp,LAR,@JAC,6,60,1,12.0
,Marqise Lee,JAC,LAR,4,60,1,12.0
,John Brown,ARI,TB,4,55,1,11.5
,Taylor Gabriel,ATL,MIA,5,55,1,11.5
,Marvin Jones,DET,@NO,4,55,1,11.5
,Kendall Wright,CHI,@BAL,4,55,1,11.5
,Jeremy Maclin,BAL,CHI,4,50,1,11.0
,Danny Amendola,NE,@NYJ,7,70,0,7.0
,Mike Evans,TB,@ARI,6,70,0,7.0
,Robby Anderson,NYJ,NE,4,60,0,6.0
,Rishard Matthews,TEN,IND,4,60,0,6.0
,Mike Wallace,BAL,CHI,4,60,0,6.0
,Adam Humphries,TB,@ARI,5,55,0,5.5
,Ricardo Louis,CLE,@HOU,4,55,0,5.5
,Terrelle Pryor,WAS,SF,4,55,0,5.5
,Jaron Brown,ARI,TB,3,50,0,5.0
,Amari Cooper,OAK,LAC,4,50,0,5.0
,Roger Lewis,NYG,@DEN,4,50,0,5.0
,Kenny Stills,MIA,@ATL,4,50,0,5.0
,Josh Doctson,WAS,SF,3,45,0,4.5
,Will Fuller,HOU,CLE,3,45,0,4.5
,Ted Ginn Jr.,NO,DET,3,45,0,4.5
,Marquise Goodwin,SF,@WAS,3,45,0,4.5
