Chg,"Player
Sort First: 



		Last:",Team,Opp,Att,Yard,TD,Rec,Yard,TD,FFPts
,Le'Veon Bell,PIT,MIN,23,90,1,3,30,0,18.0
,Melvin Gordon,LAC,MIA,23,90,1,4,25,0,17.5
,LeSean McCoy,BUF,@CAR,20,85,1,4,30,0,17.5
,Ezekiel Elliott,DAL,@DEN,21,90,1,3,20,0,17.0
,Dalvin Cook,MIN,@PIT,19,75,0,4,30,1,16.5
,Kareem Hunt,KC,PHI,18,80,1,4,25,0,16.5
,Jay Ajayi,MIA,@LAC,21,85,1,2,15,0,16.0
,Leonard Fournette,JAC,TEN,19,80,1,2,20,0,16.0
,Devonta Freeman,ATL,GB,16,65,1,4,30,0,15.5
,Marshawn Lynch,OAK,NYJ,19,85,1,1,10,0,15.5
,DeMarco Murray,TEN,@JAC,16,75,1,2,20,0,15.5
,C.J. Anderson,DEN,DAL,16,65,1,3,25,0,15.0
,Todd Gurley,LAR,WAS,18,65,1,4,25,0,15.0
,Ty Montgomery,GB,@ATL,18,65,1,3,25,0,15.0
,Isaiah Crowell,CLE,@BAL,16,65,1,2,20,0,14.5
,Jordan Howard,CHI,@TB,14,65,1,3,20,0,14.5
,Jacquizz Rodgers,TB,CHI,18,70,1,2,15,0,14.5
,Ameer Abdullah,DET,@NYG,15,60,1,2,20,0,14.0
,Christian McCaffrey,CAR,BUF,11,40,0,5,40,1,14.0
,Mike Gillislee,NE,@NO,16,65,1,1,10,0,13.5
,Jonathan Stewart,CAR,BUF,16,65,1,1,10,0,13.5
,Tarik Cohen,CHI,@TB,8,30,0,5,40,1,13.0
,Terrance West,BAL,CLE,14,55,1,2,15,0,13.0
,LeGarrette Blount,PHI,@KC,16,65,1,0,0,0,12.5
,Rob Kelley,WAS,@LAR,15,60,1,0,0,0,12.0
,Darren Sproles,PHI,@KC,5,20,0,5,40,1,12.0
,Chris Thompson,WAS,@LAR,5,20,0,4,35,1,11.5
,Alvin Kamara,NO,NE,3,10,0,4,35,1,10.5
,Lamar Miller,HOU,@CIN,19,75,0,2,20,0,9.5
,Carlos Hyde,SF,@SEA,16,65,0,3,25,0,9.0
,Mark Ingram,NO,NE,16,55,0,4,30,0,8.5
,Kyle Juszczyk,SF,@SEA,1,5,0,2,15,1,8.0
,Frank Gore,IND,ARI,13,50,0,3,25,0,7.5
,Javorius Allen,BAL,CLE,11,45,0,3,25,0,7.0
,Bilal Powell,NYJ,@OAK,10,40,0,4,30,0,7.0
,Tevin Coleman,ATL,GB,10,40,0,3,25,0,6.5
,Thomas Rawls,SEA,SF,13,55,0,2,10,0,6.5
,Kerwynn Williams,ARI,@IND,11,45,0,2,20,0,6.5
,Matt Forte,NYJ,@OAK,10,40,0,2,20,0,6.0
,Joe Mixon,CIN,HOU,10,40,0,2,20,0,6.0
,Giovani Bernard,CIN,HOU,8,35,0,2,20,0,5.5
,Duke Johnson,CLE,@BAL,5,20,0,4,35,0,5.5
,Paul Perkins,NYG,DET,14,55,0,0,0,0,5.5
,James White,NE,@NO,5,20,0,5,35,0,5.5
,Charles Sims,TB,CHI,6,25,0,3,25,0,5.0
,Chris Carson,SEA,SF,9,35,0,1,10,0,4.5
,Jamaal Charles,DEN,DAL,8,30,0,2,15,0,4.5
,Theo Riddick,DET,@NYG,3,10,0,5,35,0,4.5
,Shane Vereen,NYG,DET,4,15,0,4,30,0,4.5
,Andre Ellington,ARI,@IND,3,10,0,4,30,0,4.0
