Name,,Opp,FPts,,Ast,Solo,INT,Sack,FF,FR,TD,,% Own
Derrick Johnson LB KC (10),,TENL 21-22 ,8,,2,6,0,1,0,0,0,,35%
Mark Barron LB LA (8),,ATLL 13-26 ,8,,2,8,0,0,0,0,0,,77%
Deion Jones LB ATL (5),,@LAW 26-13 ,7,,3,7,0,0,0,0,0,,77%
Telvin Smith LB JAC (8),,BUF0:192nd,6,,0,6,0,0,0,0,0,,89%
Kevin Pierre-Louis LB KC (10),,TENL 21-22 ,6,,2,4,0,0,1,0,0,,1%
Robert Quinn LB LA (8),,ATLL 13-26 ,5,,0,3,0,1,0,0,0,,17%
Alec Ogletree LB LA (8),,ATLL 13-26 ,5,,0,5,0,0,0,0,0,,81%
Reggie Ragland LB KC (10),,TENL 21-22 ,5,,4,5,0,0,0,0,0,,12%
Brian Orakpo LB TEN (8),,@KCW 22-21 ,4,,1,1,0,1.5,0,0,0,,8%
Derrick Morgan LB TEN (8),,@KCW 22-21 ,4,,2,2,0,1,0,0,0,,5%
Justin Houston LB KC (10),,TENL 21-22 ,4,,0,2,0,1,0,0,0,,60%
Vic Beasley LB ATL (5),,@LAW 26-13 ,4,,1,2,0,1,0,0,0,,32%
De'Vondre Campbell LB ATL (5),,@LAW 26-13 ,4,,0,2,0,1,0,0,0,,22%
Frank Zombo LB KC (10),,TENL 21-22 ,3,,4,3,0,0,0,0,0,,1%
Preston Brown LB BUF (6),,@JAC0:192nd,3,,0,3,0,0,0,0,0,,38%
Lorenzo Alexander LB BUF (6),,@JAC0:192nd,2,,2,2,0,0,0,0,0,,36%
Wesley Woodyard LB TEN (8),,@KCW 22-21 ,2,,4,1,0,0.5,0,0,0,,65%
Connor Barwin LB LA (8),,ATLL 13-26 ,2,,2,1,0,0.5,0,0,0,,6%
Myles Jack LB JAC (8),,BUF0:192nd,2,,1,2,0,0,0,0,0,,68%
Duke Riley LB ATL (5),,@LAW 26-13 ,2,,0,2,0,0,0,0,0,,3%
Jayon Brown LB TEN (8),,@KCW 22-21 ,2,,1,2,0,0,0,0,0,,2%
Erik Walden LB TEN (8),,@KCW 22-21 ,1,,1,1,0,0,0,0,0,,1%
Ramon Humber LB BUF (6),,@JAC0:192nd,1,,0,1,0,0,0,0,0,,23%
LaRoy Reynolds LB ATL (5),,@LAW 26-13 ,1,,2,0,0,0,0,1,0,,0%
Daren Bates LB TEN (8),,@KCW 22-21 ,1,,0,1,0,0,0,0,0,,0%
Bryce Hager LB LA (8),,ATLL 13-26 ,1,,1,1,0,0,0,0,0,,0%
Terrance Smith LB KC (10),,TENL 21-22 ,1,,0,1,0,0,0,0,0,,0%
Cory Littleton LB LA (8),,ATLL 13-26 ,1,,0,1,0,0,0,0,0,,0%
Blair Brown LB JAC (8),,BUF0:192nd,1,,1,1,0,0,0,0,0,,1%
Courtney Upshaw LB ATL (5),,@LAW 26-13 ,0,,2,0,0,0,0,0,0,,1%
Lerentee McCray LB JAC (8),,BUF0:192nd,0,,1,0,0,0,0,0,0,,0%
Avery Williamson LB TEN (8),,@KCW 22-21 ,0,,1,0,0,0,0,0,0,,20%
