Name,,Opp,FPts,,Ast,Solo,INT,Sack,FF,FR,TD,,% Own
Aqib Talib DB DEN (5),,DALW 42-17 ,13,,0,1,1,0,0,0,1,,12%
Robert McClain DB TB (1),,CHIW 29-7 ,12,,0,2,1,0,0,0,1,,2%
Desmond Trufant DB ATL (5),,GBW 34-23 ,11,,0,2,1,0,0,1,1,,7%
Kareem Jackson DB HOU (7),,@CINW 13-9 ,9,,3,5,0,1,1,0,0,,6%
Josh Norman DB WAS (5),,@LAW 27-20 ,9,,1,5,0,0,2,0,0,,17%
Jordan Poyer DB BUF (6),,@CARL 3-9 ,9,,4,7,0,1,0,0,0,,58%
Dominique Rodgers-Cromartie DB NYG (8),,DETL 10-24 ,8,,3,8,0,0,0,0,0,,7%
Andrew Sendejo DB MIN (9),,@PITL 9-26 ,8,,2,8,0,0,0,0,0,,14%
Chris Harris DB DEN (5),,DALW 42-17 ,8,,0,6,1,0,0,0,0,,7%
Jamar Taylor DB CLE (9),,@BALL 10-24 ,8,,1,8,0,0,0,0,0,,2%
Lamarcus Joyner DB LA (8),,WASL 20-27 ,8,,1,8,0,0,0,0,0,,15%
P.J. Williams DB NO (5),,NEL 20-36 ,8,,2,8,0,0,0,0,0,,3%
QKarl Joseph DB OAK (10),,NYJW 45-20 ,8,,2,3,0,1,1,1,0,,51%
Jourdan Lewis DB DAL (6),,@DENL 17-42 ,8,,0,6,1,0,0,0,0,,3%
Patrick Chung DB NE (9),,@NOW 36-20 ,7,,1,7,0,0,0,0,0,,26%
Jason McCourty DB CLE (9),,@BALL 10-24 ,7,,1,3,1,0,1,0,0,,26%
Robert Alford DB ATL (5),,GBW 34-23 ,7,,1,7,0,0,0,0,0,,10%
OUTMaurice Alexander DB LA (8),,WASL 20-27 ,7,,2,7,0,0,0,0,0,,1%
Sean Davis DB PIT (9),,MINW 26-9 ,7,,1,7,0,0,0,0,0,,42%
Anthony Brown DB DAL (6),,@DENL 17-42 ,7,,0,7,0,0,0,0,0,,2%
Eddie Jackson DB CHI (9),,@TBL 7-29 ,7,,1,7,0,0,0,0,0,,29%
Jamal Agnew DB DET (7),,@NYGW 24-10 ,7,,0,1,0,0,0,0,0,,6%
Brent Grimes DB TB (1),,CHIW 29-7 ,6,,0,6,0,0,0,0,0,,7%
Eric Weddle DB BAL (10),,CLEW 24-10 ,6,,0,4,1,0,0,0,0,,58%
IRQuintin Demps DB CHI (9),,@TBL 7-29 ,6,,1,6,0,0,0,0,0,,3%
Lardarius Webb DB BAL (10),,CLEW 24-10 ,6,,0,4,1,0,0,0,0,,7%
Glover Quin DB DET (7),,@NYGW 24-10 ,6,,0,6,0,0,0,0,0,,61%
Barry Church DB JAC (8),,TENL 16-37 ,6,,0,6,0,0,0,0,0,,63%
Chris Conte DB TB (1),,CHIW 29-7 ,6,,1,6,0,0,0,0,0,,25%
Darius Slay DB DET (7),,@NYGW 24-10 ,6,,2,6,0,0,0,0,0,,22%
Marcus Cooper DB CHI (9),,@TBL 7-29 ,6,,0,6,0,0,0,0,0,,9%
Jeff Heath DB DAL (6),,@DENL 17-42 ,6,,1,4,0,0,1,0,0,,11%
A.J. Bouye DB JAC (8),,TENL 16-37 ,6,,0,6,0,0,0,0,0,,17%
Jahleel Addae DB LAC (9),,MIAL 17-19 ,6,,1,6,0,0,0,0,0,,38%
IRRashaan Melvin DB IND (11),,ARIL 13-16 ,6,,1,6,0,0,0,0,0,,8%
Tre Boston DB LAC (9),,MIAL 17-19 ,6,,3,6,0,0,0,0,0,,9%
Daniel Sorensen DB KC (10),,PHIW 27-20 ,6,,0,6,0,0,0,0,0,,39%
IRLandon Collins DB NYG (8),,DETL 10-24 ,6,,1,6,0,0,0,0,0,,86%
Xavien Howard DB MIA (1),,@LACW 19-17 ,6,,1,6,0,0,0,0,0,,4%
IRDerrick Kindred DB CLE (9),,@BALL 10-24 ,6,,1,6,0,0,0,0,0,,3%
Ryan Smith DB TB (1),,CHIW 29-7 ,6,,0,4,0,0,1,0,0,,1%
Eric Murray DB KC (10),,PHIW 27-20 ,6,,0,6,0,0,0,0,0,,0%
Mike Hilton DB PIT (9),,MINW 26-9 ,6,,3,6,0,0,0,0,0,,1%
Matthias Farley DB IND (11),,ARIL 13-16 ,6,,2,6,0,0,0,0,0,,33%
Marshon Lattimore DB NO (5),,NEL 20-36 ,6,,1,6,0,0,0,0,0,,27%
QMarcus Maye DB NYJ (11),,@OAKL 20-45 ,6,,1,6,0,0,0,0,0,,15%
Nate Hairston DB IND (11),,ARIL 13-16 ,6,,0,4,0,1,0,0,0,,1%
IRAdam Jones DB CIN (6),,HOUL 9-13 ,5,,0,5,0,0,0,0,0,,4%
Brandon Carr DB BAL (10),,CLEW 24-10 ,5,,0,3,1,0,0,0,0,,4%
Malcolm Jenkins DB PHI (10),,@KCL 20-27 ,5,,0,5,0,0,0,0,0,,44%
Devin McCourty DB NE (9),,@NOW 36-20 ,5,,1,5,0,0,0,0,0,,74%
Reshad Jones DB MIA (1),,@LACW 19-17 ,5,,1,5,0,0,0,0,0,,91%
IRRichard Sherman DB SEA (6),,SFW 12-9 ,5,,1,4,0,0,0,0,0,,11%
Buster Skrine DB NYJ (11),,@OAKL 20-45 ,5,,1,3,0,0,1,0,0,,8%
Justin Bethel DB ARI (8),,@INDW 16-13 ,5,,2,5,0,0,0,0,0,,15%
Harrison Smith DB MIN (9),,@PITL 9-26 ,5,,0,5,0,0,0,0,0,,80%
Jeremy Lane DB SEA (6),,SFW 12-9 ,5,,0,5,0,0,0,0,0,,0%
IRKenny Vaccaro DB NO (5),,NEL 20-36 ,5,,0,5,0,0,0,0,0,,49%
Eric Reid DB SF (11),,@SEAL 9-12 ,5,,2,5,0,0,0,0,0,,21%
Tyrann Mathieu DB ARI (8),,@INDW 16-13 ,5,,0,3,1,0,0,0,0,,62%
Nickell Robey DB LA (8),,WASL 20-27 ,5,,2,3,0,0,1,0,0,,2%
T.J. Carrie DB OAK (10),,NYJW 45-20 ,5,,0,5,0,0,0,0,0,,17%
SUSEli Apple DB NYG (8),,DETL 10-24 ,5,,0,5,0,0,0,0,0,,11%
Keanu Neal DB ATL (5),,GBW 34-23 ,5,,2,5,0,0,0,0,0,,84%
