Team,Opp,Sack,Int,Fum Rec,Saf,TD,Def 2pt Ret,TD,Pts Allow,Points
Minnesota Vikings DEF View Videos,@CLE,3.17,1.16,0.69,0.03,0.17,-,0.03,15.7,8.13
Baltimore Ravens DEF View Videos,MIA,2.54,1.12,0.71,0.04,0.15,-,0.03,20.58,7.36
Kansas City Chiefs DEF View Videos,DEN,2.86,1.09,0.62,0.04,0.12,-,0.04,21.15,7.32
Philadelphia Eagles DEF View Videos,SF,2.71,1.12,0.65,0.03,0.13,-,0.03,13.29,7.27
Seattle Seahawks DEF View Videos,HOU,2.73,1.03,0.63,0.04,0.15,-,0.03,21.18,7.21
Arizona Cardinals DEF View Videos,Bye,2.62,1.01,0.68,0.04,0.13,-,0.03,19.78,-
Pittsburgh Steelers DEF View Videos,@DET,2.48,1.09,0.66,0.03,0.13,-,0.03,21.14,7.00
New Orleans Saints DEF View Videos,CHI,2.55,1,0.69,0.04,0.13,-,0.03,19.85,6.97
Carolina Panthers DEF View Videos,@TB,2.18,1.12,0.72,0.03,0.13,-,0.04,19.86,6.94
Cincinnati Bengals DEF View Videos,IND,2.63,1.03,0.66,0.03,0.11,-,0.02,18.21,6.85
Tampa Bay Buccaneers DEF View Videos,CAR,2.64,0.97,0.64,0.03,0.11,-,0.03,21,6.76
Denver Broncos DEF View Videos,@KC,2.44,0.99,0.57,0.04,0.13,-,0.03,22.43,6.60
Houston Texans DEF View Videos,@SEA,2.46,0.95,0.63,0.03,0.11,-,0.02,22.72,6.46
Miami Dolphins DEF View Videos,@BAL,2.31,0.91,0.65,0.03,0.13,-,0.03,19.73,6.45
Indianapolis Colts DEF View Videos,@CIN,2.41,0.87,0.66,0.03,0.1,-,0.02,22.31,6.25
New York Jets DEF View Videos,ATL,2.16,0.92,0.68,0.04,0.08,-,0.04,24.57,6.16
Buffalo Bills DEF View Videos,OAK,1.72,1.02,0.71,0.03,0.11,-,0.03,23.61,6.08
Dallas Cowboys DEF View Videos,@WAS,2.3,0.86,0.65,0.04,0.09,-,0.02,23.15,6.06
New England Patriots DEF View Videos,LAC,1.98,0.94,0.62,0.03,0.13,-,0.02,21.32,6.06
Washington Redskins DEF View Videos,DAL,1.83,1.01,0.72,0.04,0.07,-,0.04,23.95,6.03
Cleveland Browns DEF View Videos,MIN,1.91,0.82,0.78,0.03,0.11,-,0.03,21.46,6.01
San Francisco 49ers DEF View Videos,@PHI,1.98,0.97,0.66,0.03,0.08,-,0.03,25.11,5.96
Oakland Raiders DEF View Videos,@BUF,2.44,0.79,0.64,0.03,0.06,-,0.03,21.51,5.90
Los Angeles Chargers DEF View Videos,@NE,2.02,0.86,0.63,0.04,0.07,-,0.03,27.2,5.68
Chicago Bears DEF View Videos,@NO,1.76,0.92,0.56,0.03,0.11,-,0.03,26.18,5.62
