Player,Opp,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Rob Gronkowski TE - NE,@PIT,-,-,-,-,-,70.1,0.53,-,0.01,0.03,10.15
Travis Kelce TE - KC,LAC,-,-,-,-,-,64.85,0.47,-,-,0.04,9.23
Ricky Seals-Jones TE - ARI,@WAS,-,-,-,0.23,-,60.1,0.44,-,-,0.03,8.61
Delanie Walker TE - TEN,@SF,-,-,-,-,-,56.22,0.34,-,0.01,0.03,7.62
Evan Engram TE - NYG,PHI,-,-,-,0.23,-,53.53,0.35,-,-,0.03,7.42
Zach Ertz TE - PHI,@NYG,-,-,-,-,-,50.11,0.36,-,-,0.03,7.11
Jimmy Graham TE - SEA View Videos,LA,-,-,-,-,-,45.3,0.38,-,0.02,0.02,6.81
Jared Cook TE - OAK View Videos,DAL,-,-,-,-,-,47.15,0.3,-,0.01,0.02,6.50
Hunter Henry TE - LAC,@KC,-,-,-,0.15,-,43.97,0.33,-,-,0.03,6.33
Jack Doyle TE - IND View Videos,DEN,-,-,-,-,-,45.28,0.3,-,0.01,0.03,6.29
Eric Ebron TE - DET View News View Videos,CHI,-,-,-,0.19,0.01,45.86,0.27,-,0.01,0.03,6.25
Stephen Anderson TE - HOU,@JAX,-,-,-,-,-,40.28,0.25,-,-,0.03,5.47
O.J. Howard TE - TB,ATL,-,-,-,0.05,-,35.28,0.28,-,-,0.02,5.17
Vernon Davis TE - WAS View Videos,ARI,-,-,-,-,-,36.53,0.25,-,0.01,0.02,5.13
Jason Witten TE - DAL,@OAK,-,-,-,-,-,34.27,0.28,-,0.01,0.01,5.11
Austin Seferian-Jenkins TE - NYJ,@NO,-,-,-,-,-,38.26,0.21,-,-,0.03,5.03
David Njoku TE - CLE View Videos,BAL,-,-,-,0.35,-,34,0.25,-,0.01,0.02,4.92
Garrett Celek TE - SF View Videos,TEN,-,-,-,-,-,34.18,0.25,-,-,0.02,4.88
Cameron Brate TE - TB View News View Videos,ATL,-,-,-,-,-,32.49,0.26,-,-,0.02,4.77
Charles Clay TE - BUF View News View Videos,MIA,-,-,-,-,-,34.17,0.22,-,0.01,0.02,4.72
Jesse James TE - PIT,NE,-,-,-,0.22,-,33.05,0.21,-,0.01,0.02,4.57
Kyle Rudolph TE - MIN View Videos,CIN,-,-,-,-,-,27.97,0.25,-,-,0.02,4.26
Julius Thomas TE - MIA,@BUF,-,-,-,-,-,30.11,0.21,-,-,0.02,4.23
Austin Hooper TE - ATL,@TB,-,-,-,0.05,-,29.03,0.18,-,-,0.02,3.95
Greg Olsen TE - CAR View Videos,GB,-,-,-,-,-,29.21,0.16,-,0.01,0.01,3.88
