Player,Opp,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Le'Veon Bell RB - PIT View Videos,@CIN,-,-,-,88,0.66,35.33,0.12,-,0.01,0.17,16.69
Alvin Kamara RB - NO View Videos,CAR,-,-,-,58.83,0.53,52.59,0.36,-,-,0.1,16.28
Todd Gurley RB - LA View Videos,@ARI,-,-,-,70.81,0.65,38.3,0.19,-,0.01,0.14,15.69
LeSean McCoy RB - BUF View News View Videos,NE,-,-,-,81.14,0.45,24.7,0.12,-,0.01,0.14,13.74
Samaje Perine RB - WAS,@DAL,-,-,-,76.75,0.56,20.95,0.1,-,-,0.13,13.47
Kenyan Drake RB - MIA View News View Videos,DEN,-,-,-,73.25,0.59,21.36,0.12,-,0.03,0.16,13.46
Melvin Gordon RB - LAC View Videos,CLE,-,-,-,72.36,0.49,25.53,0.14,-,0.01,0.13,13.33
Jordan Howard RB - CHI,SF,-,-,-,85.76,0.51,10.86,0.05,-,0.01,0.12,12.80
Carlos Hyde RB - SF View Videos,@CHI,-,-,-,69.05,0.39,28.52,0.11,-,-,0.13,12.50
Kareem Hunt RB - KC View Videos,@NYJ,-,-,-,70.21,0.39,24.35,0.11,-,0.01,0.13,12.22
Dion Lewis RB - NE View Videos,@BUF,-,-,-,69.88,0.6,13.43,0.07,-,0.01,0.1,12.17
Joe Mixon RB - CIN View Videos,PIT,-,-,-,65.86,0.44,22,0.09,-,0.01,0.12,11.75
Leonard Fournette RB - JAX View Videos,IND,-,-,-,72.41,0.41,17.87,0.08,-,-,0.12,11.73
Isaiah Crowell RB - CLE,@LAC,-,-,-,65.04,0.48,15.78,0.06,-,0.01,0.11,11.12
Jamaal Williams RB - GB View Videos,TB,-,-,-,55.24,0.37,26.76,0.13,-,0.01,0.11,11.00
Lamar Miller RB - HOU,@TEN,-,-,-,61.92,0.4,19.06,0.11,-,0.01,0.12,10.94
Latavius Murray RB - MIN View Videos,@ATL,-,-,-,65.42,0.59,7.99,0.03,-,0.01,0.11,10.86
Mark Ingram RB - NO View News,CAR,-,-,-,63.08,0.43,17.53,0.06,-,0.01,0.1,10.82
Marshawn Lynch RB - OAK View Videos,NYG,-,-,-,65.03,0.48,12.03,0.05,-,0.01,0.1,10.71
Alex Collins RB - BAL View Videos,DET,-,-,-,68.7,0.45,8.94,0.04,-,0.01,0.11,10.50
Alfred Morris RB - DAL,WAS,-,-,-,71.89,0.37,6.4,0.04,-,0.01,0.1,10.11
Frank Gore RB - IND View Videos,@JAX,-,-,-,60.05,0.32,15.8,0.06,-,0.01,0.11,9.67
Jerick McKinnon RB - MIN View Videos,@ATL,-,-,-,43.41,0.31,27.64,0.1,-,0.01,0.09,9.41
Orleans Darkwa RB - NYG View Videos,@OAK,-,-,-,55.8,0.41,12.02,0.05,-,0.01,0.09,9.38
Derrick Henry RB - TEN View Videos,HOU,-,-,-,56.85,0.38,10.7,0.05,-,-,0.08,9.18
