Team,Opp,Sack,Int,Fum Rec,Saf,TD,Def 2pt Ret,TD,Pts Allow,Points
Minnesota Vikings DEF View Videos,@CHI,2.66,1.17,0.67,0.03,0.17,-,0.03,16.78,7.60
Kansas City Chiefs DEF View Videos,@HOU,2.77,1.11,0.63,0.05,0.15,-,0.03,21.55,7.43
New York Jets DEF View Videos,@CLE,2.86,1,0.64,0.03,0.14,-,0.03,18.3,7.22
Buffalo Bills DEF View Videos,@CIN,2.67,1.09,0.62,0.03,0.12,-,0.03,19.56,7.05
Carolina Panthers DEF View Videos,@DET,2.55,1.04,0.66,0.03,0.14,-,0.03,21.38,7.03
Baltimore Ravens DEF View Videos,@OAK,2.38,1.05,0.71,0.03,0.14,-,0.03,23.67,6.98
San Francisco 49ers DEF View Videos,@IND,2.45,1,0.78,0.03,0.12,-,0.03,20.25,6.97
Philadelphia Eagles DEF View Videos,ARI,2.34,1.1,0.66,0.03,0.13,-,0.03,18.97,6.88
Tennessee Titans DEF View Videos,@MIA,2.57,1.01,0.64,0.03,0.12,-,0.02,20.37,6.77
Seattle Seahawks DEF View Videos,@LA,2.49,0.94,0.65,0.03,0.13,-,0.04,21.21,6.75
Atlanta Falcons DEF View Videos,Bye,2.17,1.04,0.63,0.03,0.15,-,0.03,20.93,-
Oakland Raiders DEF View Videos,BAL,2.31,1,0.66,0.03,0.13,-,0.02,19.27,6.59
Cleveland Browns DEF View Videos,NYJ,2.54,0.88,0.73,0.04,0.09,-,0.03,22.82,6.56
Pittsburgh Steelers DEF View Videos,JAX,2.14,1.04,0.66,0.03,0.13,-,0.03,19.48,6.56
Los Angeles Chargers DEF View Videos,@NYG,2.12,0.98,0.69,0.04,0.12,-,0.02,18.9,6.38
Los Angeles Rams DEF View Videos,SEA,2.51,0.89,0.62,0.03,0.1,-,0.03,23.88,6.37
New England Patriots DEF View Videos,@TB,2.06,0.97,0.73,0.03,0.11,-,0.03,22.23,6.36
Houston Texans DEF View Videos,KC,2.7,0.8,0.6,0.03,0.1,-,0.03,24.76,6.34
Detroit Lions DEF View Videos,CAR,2.36,0.94,0.59,0.03,0.11,-,0.03,21.84,6.32
New York Giants DEF View Videos,LAC,2,1.02,0.6,0.03,0.13,-,0.03,21.5,6.26
Chicago Bears DEF View Videos,MIN,2.22,0.9,0.68,0.03,0.1,-,0.03,23.23,6.22
Dallas Cowboys DEF View Videos,GB,2.57,0.79,0.59,0.03,0.08,-,0.03,24.14,6.05
Indianapolis Colts DEF View Videos,SF,2.03,0.87,0.71,0.03,0.1,-,0.03,16.66,6.03
Green Bay Packers DEF View Videos,@DAL,2.01,0.91,0.65,0.04,0.08,-,0.04,24.24,5.93
Miami Dolphins DEF View Videos,TEN,1.95,0.89,0.66,0.03,0.09,-,0.03,22.09,5.83
