Player,Opp,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Aaron Rodgers QB - GB,CIN,296.13,1.94,0.54,18.66,0.15,-,-,-,0.02,0.24,20.85
Matt Ryan QB - ATL View News View Videos,@DET,308.05,2.18,0.94,8.23,0.08,-,-,-,0.06,0.21,20.17
Cam Newton QB - CAR View News View Videos,NO,252.22,1.85,0.54,18.38,0.17,-,-,-,0.07,0.22,18.97
Matthew Stafford QB - DET View Videos,ATL,281.35,1.82,0.84,12.45,0.12,-,-,-,0.12,0.21,18.64
Tom Brady QB - NE View Videos,HOU,289.47,1.85,0.57,6.68,0.06,-,-,-,0.07,0.2,18.61
Carson Palmer QB - ARI,DAL,287.41,1.85,0.81,4.63,0.04,-,-,-,0.08,0.21,17.72
Russell Wilson QB - SEA View Videos,@TEN,262.49,1.46,0.57,19.46,0.13,-,-,-,0.06,0.23,17.59
Kirk Cousins QB - WAS View Videos,OAK,275.55,1.7,0.87,11.27,0.12,-,-,-,0.04,0.23,17.55
Alex Smith QB - KC,@LAC,261.56,1.42,0.39,15.12,0.14,-,-,-,0.09,0.2,17.49
Derek Carr QB - OAK View Videos,@WAS,279.5,1.63,0.6,8.45,0.06,-,-,-,0.08,0.23,17.41
Drew Brees QB - NO View Videos,@CAR,289.31,1.87,0.92,2.57,0.02,-,-,-,0.06,0.2,17.31
Ben Roethlisberger QB - PIT,@CHI,271.42,1.48,0.58,7.2,0.07,-,-,-,0.21,0.19,16.80
Marcus Mariota QB - TEN View Videos,SEA,235.96,1.53,0.8,20.45,0.17,-,-,-,0.09,0.22,16.76
Dak Prescott QB - DAL View Videos,@ARI,255.24,1.54,0.66,12.78,0.13,-,-,-,0.02,0.22,16.71
Tyrod Taylor QB - BUF View Videos,DEN,208.89,1.26,0.57,34.35,0.22,-,-,-,0.02,0.2,16.65
Philip Rivers QB - LAC View Videos,KC,261.41,1.75,0.87,4.37,0.04,-,-,-,0.07,0.2,16.13
Blake Bortles QB - JAX View Videos,BAL,231.81,1.38,0.97,21.12,0.16,-,-,-,0.06,0.22,15.60
Case Keenum QB - MIN View Videos,TB,263.73,1.47,1.05,8.56,0.08,-,-,-,0.02,0.22,15.27
Jameis Winston QB - TB View Videos,@MIN,236.87,1.57,0.91,10.27,0.07,-,-,-,0.09,0.22,15.12
Mike Glennon QB - CHI View News,PIT,245.77,1.55,0.81,5.94,0.06,-,-,-,0.07,0.21,15.08
Andy Dalton QB - CIN View Videos,@GB,250.09,1.31,0.86,10.03,0.09,-,-,-,0.02,0.21,14.69
Trevor Siemian QB - DEN,@BUF,240.01,1.27,0.79,11.53,0.11,-,-,-,0.04,0.2,14.59
Jay Cutler QB - MIA,@NYJ,233.75,1.33,0.76,7.79,0.07,-,-,-,0.04,0.18,14.07
Josh McCown QB - NYJ,MIA,213.34,1.56,0.96,9.15,0.08,-,-,-,0.06,0.21,13.95
Carson Wentz QB - PHI View Videos,NYG,225.16,1.23,0.86,14.53,0.1,-,-,-,0.06,0.23,13.92
