Team,Opp,Sack,Int,Fum Rec,Saf,TD,Def 2pt Ret,TD,Pts Allow,Points
Seattle Seahawks DEF View Videos,IND,2.99,1.19,0.69,0.03,0.16,-,0.03,18.25,7.95
Tennessee Titans DEF View Videos,@HOU,2.9,1,0.62,0.03,0.14,-,0.03,19.51,7.22
Minnesota Vikings DEF View Videos,DET,2.47,1.04,0.77,0.03,0.14,-,0.03,22.88,7.17
Dallas Cowboys DEF View Videos,LA,2.74,0.99,0.66,0.03,0.13,-,0.04,20.1,7.12
Cincinnati Bengals DEF View Videos,@CLE,2.6,1.11,0.63,0.03,0.13,-,0.03,20.15,7.10
Green Bay Packers DEF View Videos,CHI,2.43,1.04,0.66,0.03,0.14,-,0.03,20.01,6.91
Jacksonville Jaguars DEF View Videos,@NYJ,2.66,0.99,0.61,0.04,0.12,-,0.03,20.5,6.84
Atlanta Falcons DEF View Videos,BUF,2.33,0.96,0.72,0.03,0.14,-,0.03,16.23,6.77
Los Angeles Chargers DEF View Videos,PHI,2.51,1.01,0.61,0.03,0.12,-,0.03,20.96,6.71
New Orleans Saints DEF View Videos,@MIA,2.34,1.04,0.67,0.03,0.11,-,0.03,21.29,6.66
Pittsburgh Steelers DEF View Videos,@BAL,2.25,1,0.66,0.03,0.14,-,0.03,20.99,6.65
New York Giants DEF View Videos,@TB,2.04,1.07,0.75,0.03,0.11,-,0.04,21.99,6.64
Buffalo Bills DEF View Videos,@ATL,2.38,1.03,0.66,0.03,0.09,-,0.03,25.82,6.54
New England Patriots DEF View Videos,CAR,2.48,0.94,0.61,0.03,0.12,-,0.03,21.01,6.54
Denver Broncos DEF View Videos,OAK,1.81,1.09,0.69,0.03,0.15,-,0.03,21.87,6.51
Oakland Raiders DEF View Videos,@DEN,2.42,0.99,0.62,0.03,0.11,-,0.02,22.06,6.48
New York Jets DEF View Videos,JAX,2.17,0.98,0.66,0.03,0.12,-,0.03,21,6.41
Cleveland Browns DEF View Videos,CIN,2.3,0.85,0.77,0.03,0.09,-,0.02,22.2,6.26
Philadelphia Eagles DEF View Videos,@LAC,1.96,1.06,0.6,0.03,0.13,-,0.02,20.91,6.24
Detroit Lions DEF View Videos,@MIN,2.1,0.99,0.63,0.03,0.12,-,0.02,21.66,6.24
San Francisco 49ers DEF View Videos,@ARI,2.02,0.93,0.75,0.03,0.1,-,0.03,22.59,6.22
Houston Texans DEF View Videos,TEN,2.14,0.92,0.67,0.03,0.1,-,0.03,22.18,6.16
Indianapolis Colts DEF View Videos,@SEA,2.36,0.89,0.62,0.03,0.09,-,0.02,22.15,6.10
Kansas City Chiefs DEF View Videos,WAS,1.95,0.96,0.65,0.04,0.11,-,0.03,24.56,6.09
Carolina Panthers DEF View Videos,@NE,2.07,0.95,0.62,0.03,0.1,-,0.03,24.51,6.05
