PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Le'Veon Bell*,@KC,W 19-13,0/0,0,0,0,18.2,81.4,0.5,5.3,39.9,0.2,21.6
Kareem Hunt,Pit,L 13-19,0/0,0,0,0,17.5,79.8,0.8,2.8,24.3,0.1,18.5
Todd Gurley II,@Jax,W 27-17,0/0,0,0,0,18.1,75.2,0.6,3.7,26.9,0.1,17.5
Mark Ingram,Det,W 52-38,0/0,0,0,0,14.3,66,0.6,3.4,26.9,0.2,17.2
Leonard Fournette,LAR,L 17-27,0/0,0,0,0,20.3,85.2,0.6,2.5,21.5,0.1,17.2
Devonta Freeman,Mia,L 17-20,0/0,0,0,0,16.6,72.6,0.8,2.4,20.2,0.1,17.1
Lamar Miller,Cle,W 33-17,0/0,0,0,0,18.1,73.5,0.7,2.4,20.5,0.1,16.4
Melvin Gordon,@Oak,W 17-16,0/0,0,0,0,16.2,67.2,0.4,3.4,28.3,0.1,15.9
DeMarco Murray*,Ind,W 36-22,0/0,0,0,0,15.2,72.4,0.7,2.2,17.6,0.1,15.8
C.J. Anderson,NYG,L 10-23,0/0,0,0,0,19.9,80.7,0.5,2.2,16.9,0.1,15.6
Alvin Kamara,Det,W 52-38,0/0,0,0,0,9.4,41.2,0.3,4.3,37.7,0.2,15.3
Christian McCaffrey,Phi,L 23-28,0/0,0,0,0,5.9,23.2,0.2,5.1,48.5,0.2,14.7
Marshawn Lynch,LAC,L 16-17,0/0,0,0,0,15.5,64.9,0.8,1.2,10.3,0.1,13.6
Carlos Hyde,@Wsh,L 24-26,0/0,0,0,0,12.1,53.9,0.3,3.2,23.6,0.1,13.2
Javorius Allen,Chi,L 24-27,0/0,0,0,0,10.3,41.3,0.3,3.5,27.5,0.1,13.1
Mike Gillislee*,@NYJ,W 24-17,0/0,0,0,0,17.1,73.7,0.9,0.1,1.1,0,13.1
Jay Ajayi,@Car,W 28-23,0/0,0,0,0,17.4,75.1,0.3,1.7,13.2,0.1,12.8
Samaje Perine,SF,W 26-24,0/0,0,0,0,17.5,72.2,0.6,0.9,9,0,12.8
Duke Johnson Jr.,@Hou,L 17-33,0/0,0,0,0,6,24.1,0.2,4.8,38.1,0.1,12.5
Jordan Howard,@Bal,W 27-24,0/0,0,0,0,15.3,67.4,0.4,1.6,12.3,0.1,12.4
Chris Thompson*,SF,W 26-24,0/0,0,0,0,7.3,35,0.3,3.4,32.2,0.2,12.3
Tevin Coleman,Mia,L 17-20,0/0,0,0,0,7.9,35.8,0.3,2.9,27.8,0.2,12.2
Jerick McKinnon,GB,W 23-10,0/0,0,0,0,11.3,48.2,0.3,3,23.5,0.1,12.1
Ameer Abdullah,@NO,L 38-52,0/0,0,0,0,13.5,57.2,0.3,1.9,17,0.1,11.7
Andre Ellington,Cle,W 33-17,0/0,0,0,0,3.5,13.1,0.1,4.6,43.4,0.2,11.6
Theo Riddick,@NO,L 38-52,0/0,0,0,0,3,11.6,0.1,4.5,38.4,0.3,11.6
Doug Martin,@Ari,L 33-38,0/0,0,0,0,16,61.4,0.4,1.6,12.1,0.1,11.3
Latavius Murray,GB,W 23-10,0/0,0,0,0,12,49.7,0.5,1.9,14.9,0.1,11.2
Matt Forte*,NE,L 17-24,0/0,0,0,0,9.2,40.1,0.3,2.6,23.9,0.1,10.8
Isaiah Crowell,@Hou,L 17-33,0/0,0,0,0,12.8,49.3,0.4,1.7,12.2,0,10.7
Jonathan Stewart,Phi,L 23-28,0/0,0,0,0,14.6,59.4,0.4,1.2,10.4,0,10.7
James White*,@NYJ,W 24-17,0/0,0,0,0,3.9,15.6,0.1,3.8,32.5,0.2,10.6
Ty Montgomery*,@Min,L 10-23,0/0,0,0,0,9.7,41.5,0.2,2.3,17.8,0.1,10.2
LeGarrette Blount,@Car,W 28-23,0/0,0,0,0,13,53.5,0.3,1.2,8.2,0,9.5
Elijah McGuire,NE,L 17-24,0/0,0,0,0,8,36.3,0.2,2,18.3,0.1,9.1
Alex Collins,Chi,L 24-27,0/0,0,0,0,12.3,55.2,0.3,1,8.2,0,9.1
Adrian Peterson*,TB,W 38-33,0/0,0,0,0,12.4,49.3,0.3,1.2,9.7,0,9
Tarik Cohen,@Bal,W 27-24,0/0,0,0,0,5.3,21.9,0.1,3.2,22.4,0.1,8.8
Aaron Jones*,@Min,L 10-23,0/0,0,0,0,9.5,39.4,0.2,1.9,14.9,0.1,8.7
Frank Gore,@Ten,L 22-36,0/0,0,0,0,10.1,38.1,0.3,1.7,13.1,0,8.7
