PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Le'Veon Bell*,@Cin,W 23-20,0/0,0,0,0,21.3,90.9,0.5,6.1,43.5,0.3,24.2
Todd Gurley II,@Ari,W 32-16,0/0,0,0,0,19.2,78.8,0.8,3.6,31.7,0.1,19
Melvin Gordon,Cle,W 19-10,0/0,0,0,0,20.7,75.6,0.7,3.2,26.7,0.2,18.8
LeSean McCoy,NE,L 3-23,0/0,0,0,0,16.2,76.7,0.4,4.3,33.7,0.2,18.7
Leonard Fournette,Ind,W 30-10,0/0,0,0,0,20.5,87,0.8,2.1,17.5,0.1,17.9
Mark Ingram,Car,W 31-21,0/0,0,0,0,15.9,72.6,0.7,3.3,24.6,0.1,17.6
Alvin Kamara,Car,W 31-21,0/0,0,0,0,8.9,41.9,0.4,4.8,45.9,0.2,17
Christian McCaffrey,@NO,L 21-31,0/0,0,0,0,7.9,33.5,0.2,5.6,49.3,0.3,16.9
DeAndre Hopkins*,@Ten,L 13-24,0/0,0,0,0,0,0,0,6.5,72.4,0.5,16.8
Rob Gronkowski,@Buf,W 23-3,0/0,0,0,0,0,0,0,5.1,73.6,0.7,16.6
Adam Thielen,@Atl,W 14-9,0/0,0,0,0,0,0,0,6.1,77.1,0.4,16.2
Brandin Cooks,@Buf,W 23-3,0/0,0,0,0,0.3,1.7,0,5.6,79.8,0.4,16.2
A.J. Green,Pit,L 20-23,0/0,0,0,0,0,0,0,5.5,83,0.4,16.1
Carlos Hyde,@Chi,W 15-14,0/0,0,0,0,16.7,72.4,0.4,3.7,26,0.1,16.1
Michael Thomas,Car,W 31-21,0/0,0,0,0,0,0,0,6,75.5,0.4,16
Jordan Howard,SF,L 14-15,0/0,0,0,0,21.4,91.7,0.6,1.3,11,0.1,15.7
Travis Kelce,@NYJ,L 31-38,0/0,0,0,0,0.1,0.5,0,6,72,0.4,15.6
Kareem Hunt,@NYJ,L 31-38,0/0,0,0,0,15.1,65.9,0.5,2.9,22.6,0.1,15.3
Julio Jones,Min,L 9-14,0/0,0,0,0,0,0,0,5.3,79.7,0.3,15.1
Jamaal Williams,TB,W 26-20,0/0,0,0,0,14.1,57.3,0.5,3,26.5,0.1,15
Davante Adams*,TB,W 26-20,0/0,0,0,0,0,0,0,5.3,68.1,0.4,14.6
Mike Evans,@GB,L 20-26,0/0,0,0,0,0,0,0,4.9,66,0.5,14.5
Keenan Allen,Cle,W 19-10,0/0,0,0,0,0,0,0,5.2,66.1,0.4,14.4
Zach Ertz,@Sea,L 10-24,0/0,0,0,0,0,0,0,5.6,58.9,0.5,14.4
Larry Fitzgerald,LAR,L 16-32,0/0,0,0,0,0,0,0,5.9,62.3,0.4,14.4
Dion Lewis,@Buf,W 23-3,0/0,0,0,0,14.2,66.1,0.4,2.2,16.8,0.1,14
Doug Baldwin,Phi,W 24-10,0/0,0,0,0,0.2,1.2,0,5.2,61,0.4,13.8
Dez Bryant,Wsh,W 38-14,0/0,0,0,0,0,0,0,4.5,62.6,0.5,13.8
Marshawn Lynch,NYG,W 24-17,0/0,0,0,0,14.2,61.6,0.7,1.5,14.5,0.1,13.6
JuJu Smith-Schuster,@Cin,W 23-20,0/0,0,0,0,0,0,0,4.7,64.4,0.4,13.5
Demaryius Thomas,@Mia,L 9-35,0/0,0,0,0,0,0,0,5,63.9,0.4,13.5
Jamison Crowder,@Dal,L 14-38,0/0,0,0,0,0.7,4.7,0,4.9,62.9,0.3,13.5
Alshon Jeffery,@Sea,L 10-24,0/0,0,0,0,0,0,0,4.5,61.6,0.5,13.4
Tyreek Hill*,@NYJ,L 31-38,0/0,0,0,0,1.8,11.4,0.1,4.7,50.6,0.3,13.2
Devin Funchess,@NO,L 21-31,0/0,0,0,0,0,0,0,4.4,64.7,0.4,13.2
Jimmy Graham,Phi,W 24-10,0/0,0,0,0,0,0,0,4.8,52.4,0.5,13.2
Jerick McKinnon,@Atl,W 14-9,0/0,0,0,0,11,48,0.3,3.6,23.4,0.1,13
Jarvis Landry,Den,W 35-9,0/0,0,0,0,0.2,1.3,0,5.3,56.5,0.3,13
Golden Tate,@Bal,L 20-44,0/0,0,0,0,0.5,2.4,0,5.6,54.9,0.3,13
DeMarco Murray*,Hou,W 24-13,0/0,0,0,0,12,48.3,0.6,2.2,17.3,0.1,12.7
