PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Le'Veon Bell*,GB,W 31-28,0/0,0,0,0,23,88.3,0.7,4.2,35.6,0.2,21.9
LeSean McCoy,@KC,W 16-10,0/0,0,0,0,17.8,84.4,0.4,4.8,35.5,0.2,20.1
Todd Gurley II,NO,W 26-20,0/0,0,0,0,18.1,83.8,0.7,3.5,32,0.1,18.9
Mark Ingram,@LAR,L 20-26,0/0,0,0,0,15,72.7,0.6,4.1,28.1,0.2,18.7
Leonard Fournette,@Ari,L 24-27,0/0,0,0,0,21.3,88.6,0.8,2.5,20.1,0.1,18.7
Kareem Hunt,Buf,L 10-16,0/0,0,0,0,16.5,77.8,0.7,3.1,26.7,0.1,18.3
Melvin Gordon,@Dal,W 28-6,0/0,0,0,0,16.9,72.8,0.5,3.6,28.2,0.2,17.8
Tevin Coleman,TB,W 34-20,0/0,0,0,0,17.7,74.6,0.7,2.4,25.2,0.1,17.2
Christian McCaffrey,@NYJ,W 35-27,0/0,0,0,0,8.8,33.7,0.2,5.5,41.5,0.3,16
Alvin Kamara,@LAR,L 20-26,0/0,0,0,0,8,38.5,0.3,4.9,42,0.2,15.9
Carlos Hyde,Sea,L 13-24,0/0,0,0,0,14.5,59,0.3,4.1,28.6,0.1,15.4
Jerick McKinnon,@Det,W 30-23,0/0,0,0,0,13,57.4,0.3,3.6,25.3,0.1,14.4
Alfred Morris,LAC,L 6-28,0/0,0,0,0,18.4,90.8,0.6,0.7,5.2,0,13.7
Samaje Perine,NYG,W 20-10,0/0,0,0,0,17.9,76.4,0.6,1.3,11.8,0,13.7
Dion Lewis,Mia,W 35-17,0/0,0,0,0,16,71.8,0.6,1.2,11,0.1,13.6
DeMarco Murray*,@Ind,W 20-16,0/0,0,0,0,11.9,49.7,0.5,2.6,20.7,0.1,13.3
Lamar Miller,@Bal,L 16-23,0/0,0,0,0,17,67.2,0.3,2.5,15.6,0.1,13.1
Joe Mixon,Cle,W 30-16,0/0,0,0,0,16.6,54,0.5,2.2,18.5,0.1,12.5
Frank Gore,Ten,L 16-20,0/0,0,0,0,14.1,53,0.5,1.8,14.7,0.1,11.9
Orleans Darkwa,@Wsh,L 10-20,0/0,0,0,0,13.6,60.9,0.2,2.3,18.2,0.1,11.9
Bilal Powell,Car,L 27-35,0/0,0,0,0,11,47.5,0.2,3,21.6,0.1,11.9
Marshawn Lynch,Den,W 21-14,0/0,0,0,0,12.8,47.3,0.7,1.5,12.5,0.1,11.8
Rex Burkhead*,Mia,W 35-17,0/0,0,0,0,7.3,31.5,0.3,2.8,25.8,0.2,11.2
Jamaal Williams,@Pit,L 28-31,0/0,0,0,0,13.4,52.1,0.3,2.4,16.8,0,11
Duke Johnson Jr.,@Cin,L 16-30,0/0,0,0,0,6.2,26,0.1,4.2,30.6,0.1,11
Danny Woodhead,Hou,W 23-16,0/0,0,0,0,5.7,21.8,0.1,3.5,31.8,0.2,10.7
Alex Collins,Hou,W 23-16,0/0,0,0,0,16.2,66.6,0.3,1.2,10.3,0,10.6
Doug Martin,@Atl,L 20-34,0/0,0,0,0,14.4,66.5,0.2,1.3,9.5,0,10.6
Latavius Murray,@Det,W 30-23,0/0,0,0,0,13.9,61.5,0.5,0.8,5.5,0,10.6
Jordan Howard,@Phi,L 3-31,0/0,0,0,0,17.2,70.5,0.2,1.4,10.3,0,10.6
Isaiah Crowell,@Cin,L 16-30,0/0,0,0,0,13.9,56.3,0.3,1.8,12,0,10.5
Rod Smith*,LAC,L 6-28,0/0,0,0,0,8.3,40,0.3,2.4,18.5,0.1,10.4
James White*,Mia,W 35-17,0/0,0,0,0,4.1,16.9,0.2,3.1,29,0.2,10.1
Adrian Peterson*,Jax,W 27-24,0/0,0,0,0,15.9,66.4,0.3,1,6.6,0,10.1
Ameer Abdullah,Min,L 23-30,0/0,0,0,0,14.2,49.9,0.2,1.9,14.2,0.1,9.9
Damien Williams*,@NE,L 17-35,0/0,0,0,0,8.7,38.6,0.1,2.5,21,0.1,9.7
Elijah McGuire,Car,L 27-35,0/0,0,0,0,9,36,0.2,2.5,20.2,0.1,9.6
Jay Ajayi,Chi,W 31-3,0/0,0,0,0,10.8,44.3,0.3,1.6,13.3,0.1,9.4
Theo Riddick,Min,L 23-30,0/0,0,0,0,4.4,14.5,0.1,3.6,26.4,0.2,9.4
J.D. McKissic,@SF,W 24-13,0/0,0,0,0,8.2,33.8,0.2,2.2,19.4,0.1,9.4
