PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Travis Kelce,@LAC,W 24-10,0/0,0,0,0,0,0,0,5.3,65.9,0.3,13.6
Rob Gronkowski,Hou,W 36-33,0/0,0,0,0,0,0,0,4.2,61.8,0.5,13.3
Zach Ertz,NYG,W 27-24,0/0,0,0,0,0,0,0,5.4,57.9,0.3,12.7
Kyle Rudolph,TB,W 34-17,0/0,0,0,0,0,0,0,4.5,47.3,0.4,11.7
Delanie Walker,Sea,W 33-27,0/0,0,0,0,0,0,0,4.3,49.6,0.3,11.2
Jimmy Graham,@Ten,L 27-33,0/0,0,0,0,0,0,0,3.9,47.6,0.4,10.8
Vernon Davis,Oak,W 27-10,0/0,0,0,0,0,0,0,3.6,50.8,0.3,10.8
Jason Witten,@Ari,W 28-17,0/0,0,0,0,0,0,0,4.4,42.4,0.3,10.2
Eric Ebron,Atl,L 26-30,0/0,0,0,0,0,0,0,3.9,43.9,0.3,9.8
Jared Cook,@Wsh,L 10-27,0/0,0,0,0,0,0,0,3.4,42.9,0.3,9.6
Zach Miller*,Pit,W 23-17,0/0,0,0,0,0,0,0,3.8,40.9,0.3,9.5
Jesse James,@Chi,L 17-23,0/0,0,0,0,0,0,0,3.6,38.1,0.3,9.5
Charles Clay,Den,W 26-16,0/0,0,0,0,0,0,0,3.9,40.5,0.2,9.4
Jack Doyle,Cle,W 31-28,0/0,0,0,0,0,0,0,3.8,39.6,0.3,9.3
Martellus Bennett*,Hou,W 36-33,0/0,0,0,0,0,0,0,3.6,36.6,0.3,9.3
Coby Fleener*,@Car,W 34-13,0/0,0,0,0,0,0,0,3.3,38,0.3,9.1
Benjamin Watson,@Jax,L 7-44,0/0,0,0,0,0,0,0,3.9,37.2,0.2,9
Evan Engram*,@Phi,L 24-27,0/0,0,0,0,0,0,0,3.6,40,0.2,9
Hunter Henry*,KC,L 10-24,0/0,0,0,0,0,0,0,3.1,36.7,0.4,8.9
Ed Dickson,NO,L 13-34,0/0,0,0,0,0,0,0,3.1,39.2,0.3,8.9
Austin Hooper,@Det,W 30-26,0/0,0,0,0,0,0,0,2.8,35.7,0.3,8.3
Jermaine Gresham*,Dal,L 17-28,0/0,0,0,0,0,0,0,3.1,34.1,0.2,8
Cameron Brate,@Min,L 17-34,0/0,0,0,0,0,0,0,3.1,32.5,0.3,7.9
Julius Thomas*,@NYJ,L 6-20,0/0,0,0,0,0,0,0,2.6,26.8,0.4,7.5
Ryan Griffin*,@NE,L 33-36,0/0,0,0,0,0,0,0,3.1,33.6,0.2,7.4
Antonio Gates,KC,L 10-24,0/0,0,0,0,0,0,0,2.6,29,0.3,7.3
C.J. Uzomah,@GB,L 24-27,0/0,0,0,0,0,0,0,2.9,29.8,0.2,7.2
George Kittle,LAR,L 39-41,0/0,0,0,0,0,0,0,2.8,28.5,0.2,6.6
Seth DeValve,@Ind,L 28-31,0/0,0,0,0,0,0,0,2.3,28.7,0.2,6.3
Austin Seferian-Jenkins*,Mia,W 20-6,0/0,0,0,0,0,0,0,2.4,28.6,0.2,6.3
Stephen Anderson,@NE,L 33-36,0/0,0,0,0,0,0,0,2.5,25.1,0.2,6
Marcedes Lewis,Bal,W 44-7,0/0,0,0,0,0,0,0,2.2,23.6,0.2,5.5
David Njoku,@Ind,L 28-31,0/0,0,0,0,0,0,0,2,22.7,0.2,5.3
O.J. Howard*,@Min,L 17-34,0/0,0,0,0,0,0,0,2.1,20.9,0.2,5.3
Gerald Everett,@SF,W 41-39,0/0,0,0,0,0,0,0,2,21.7,0.2,5.1
Tyler Higbee,@SF,W 41-39,0/0,0,0,0,0,0,0,2,20.2,0.2,5.1
Josh Hill,@Car,W 34-13,0/0,0,0,0,0,0,0,1.6,16.5,0.2,4.3
A.J. Derby,@NYJ,L 6-20,0/0,0,0,0,0,0,0,1.7,18.8,0.1,4.2
Virgil Green,@Buf,L 16-26,0/0,0,0,0,0,0,0,1.4,15.6,0.1,3.7
Dion Sims,Pit,W 23-17,0/0,0,0,0,0,0,0,1.4,14.1,0.1,3.5
