PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Jason Witten,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Antonio Gates,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Kellen Winslow,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Benjamin Watson,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Alex Smith,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Vernon Davis,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Marcedes Lewis,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Anthony Fasano,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Owen Daniels,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Delanie Walker,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Daniel Fells,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Greg Olsen,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Matt Spaeth,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Scott Chandler*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Brent Celek,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Clark Harris,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Fred Davis,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Martellus Bennett*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Craig Stevens,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Gary Barnidge,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jacob Tamme,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Kellen Davis,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Matthew Mulligan,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
David Johnson,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
James Casey,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Chase Coffman,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jared Cook,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Bear Pascoe,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Brandon Pettigrew,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
John Phillips,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Zach Miller*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Brandon Myers,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jermaine Gresham,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Rob Gronkowski,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Dennis Pitta*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jimmy Graham,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Ed Dickson,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Tony Moeaki,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jim Dray,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Garrett Graham,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Bruce Miller,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Virgil Green,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Luke Stocker,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
David Ausberry,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Charles Clay,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Niles Paul,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
D.J. Williams,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jordan Cameron,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Julius Thomas*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Lee Smith,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Coby Fleener*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Dwayne Allen,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Orson Charles,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Ladarius Green,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
James Hanna,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Rhett Ellison,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
