PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Travis Kelce,Oak,W 26-15,0/0,0,0,0,0.1,0.5,0,5.7,75.7,0.5,16.3
Evan Engram*,Dal,L 10-30,0/0,0,0,0,0,0,0,5,58.8,0.3,12.9
Jack Doyle,@Buf,L 7-13,0/0,0,0,0,0,0,0,5.6,51.5,0.3,12.3
Jimmy Graham,@Jax,L 24-30,0/0,0,0,0,0,0,0,4.7,48.8,0.4,11.9
Delanie Walker,@Ari,L 7-12,0/0,0,0,0,0,0,0,4.5,51.2,0.3,11.3
Hunter Henry*,Wsh,W 30-13,0/0,0,0,0,0,0,0,3.5,43.1,0.5,10.7
Greg Olsen,Min,W 31-24,0/0,0,0,0,0,0,0,3.9,50.2,0.2,10.4
Cameron Brate,Det,L 21-24,0/0,0,0,0,0,0,0,3.7,41.8,0.4,10.2
Kyle Rudolph,@Car,L 24-31,0/0,0,0,0,0,0,0,4,36.7,0.4,9.8
Julius Thomas*,NE,W 27-20,0/0,0,0,0,0,0,0,3.9,38.4,0.3,9.7
Austin Hooper,NO,W 20-17,0/0,0,0,0,0,0,0,3.4,39.4,0.3,9.4
Jared Cook,@KC,L 15-26,0/0,0,0,0,0,0,0,3.4,42.6,0.3,9.3
Jason Witten,@NYG,W 30-10,0/0,0,0,0,0,0,0,3.9,37.7,0.2,9.1
Vernon Davis,@LAC,L 13-30,0/0,0,0,0,0,0,0,3.4,42.3,0.2,9
Trey Burton,@LAR,W 43-35,0/0,0,0,0,0,0,0,3.4,34.7,0.3,8.8
Stephen Anderson,SF,L 16-26,0/0,0,0,0,0,0,0,3.3,35.9,0.3,8.7
Austin Seferian-Jenkins*,@Den,L 0-23,0/0,0,0,0,0,0,0,3,32.6,0.3,8.4
Tyler Kroft,Chi,L 7-33,0/0,0,0,0,0,0,0,3.2,35.2,0.3,8.3
Charles Clay,Ind,W 13-7,0/0,0,0,0,0,0,0,3.1,32.9,0.2,7.6
Eric Ebron,@TB,W 24-21,0/0,0,0,0,0,0,0,3,33.9,0.2,7.6
Ricky Seals-Jones,Ten,W 12-7,0/0,0,0,0,0,0,0,2.9,29,0.3,7.4
Benjamin Watson,@Pit,L 38-39,0/0,0,0,0,0,0,0,3.3,29.3,0.2,7.2
David Njoku,GB,L 21-27,0/0,0,0,0,0,0,0,2.7,29.7,0.2,6.9
Dwayne Allen,@Mia,L 20-27,0/0,0,0,0,0,0,0,2.4,26.2,0.3,6.9
Tyler Higbee,Phi,L 35-43,0/0,0,0,0,0,0,0,2.5,26.8,0.2,6.7
Garrett Celek,@Hou,W 26-16,0/0,0,0,0,0,0,0,2.3,29.1,0.2,6.2
Virgil Green,NYJ,W 23-0,0/0,0,0,0,0,0,0,2.4,26.2,0.2,6
Brent Celek,@LAR,W 43-35,0/0,0,0,0,0,0,0,2.1,25.1,0.2,5.8
Niles Paul,@LAC,L 13-30,0/0,0,0,0,0,0,0,2.3,24,0.1,5.5
Marcedes Lewis,Sea,W 30-24,0/0,0,0,0,0,0,0,2,23.5,0.2,5.5
Jermaine Gresham*,Ten,W 12-7,0/0,0,0,0,0,0,0,2.2,21.3,0.2,5.4
O.J. Howard*,Det,L 21-24,0/0,0,0,0,0,0,0,1.8,22.5,0.2,5.1
George Kittle,@Hou,W 26-16,0/0,0,0,0,0,0,0,1.9,22.1,0.1,4.9
Vance McDonald,Bal,W 39-38,0/0,0,0,0,0,0,0,1.6,20.4,0.2,4.7
Richard Rodgers*,@Cle,W 27-21,0/0,0,0,0,0,0,0,1.8,16.4,0.2,4.5
Antonio Gates,Wsh,W 30-13,0/0,0,0,0,0,0,0,1.4,16.4,0.2,4.3
Josh Hill,@Atl,L 17-20,0/0,0,0,0,0,0,0,1.7,16.6,0.2,4.3
Seth DeValve,GB,L 21-27,0/0,0,0,0,0,0,0,1.7,19.3,0.1,4.3
Daniel Brown,@Cin,W 33-7,0/0,0,0,0,0,0,0,1.7,16.6,0.1,4.1
Darren Fells,@TB,W 24-21,0/0,0,0,0,0,0,0,1.4,16.3,0.2,4
