PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Antonio Brown*,Min,W 26-9,0/0,0,0,0,0.2,1.2,0,7.5,99.8,0.5,20.8
Le'Veon Bell*,Min,W 26-9,0/0,0,0,0,15.6,69.4,0.4,5.5,44.9,0.2,20.5
Julio Jones,GB,W 34-23,0/0,0,0,0,0,0,0,6.6,101.5,0.5,19.8
Jordy Nelson*,@Atl,L 23-34,0/0,0,0,0,0,0,0,6.4,87.2,0.7,19.3
Rob Gronkowski,@NO,W 36-20,0/0,0,0,0,0,0,0,5.6,88.6,0.8,19.2
A.J. Green,Hou,L 9-13,0/0,0,0,0,0,0,0,6.7,88.7,0.4,18
Larry Fitzgerald,@Ind,W 16-13,0/0,0,0,0,0,0,0,6.8,80.8,0.5,17.8
Mike Evans,Chi,W 29-7,0/0,0,0,0,0,0,0,6.5,82.5,0.5,17.8
Michael Thomas,NE,L 20-36,0/0,0,0,0,0,0,0,6.5,83.4,0.5,17.8
Doug Baldwin,SF,W 12-9,0/0,0,0,0,0.2,1.4,0,5.9,79.9,0.6,17.6
Brandin Cooks,@NO,W 36-20,0/0,0,0,0,0.1,0.7,0,5.8,83.9,0.5,17.2
DeAndre Hopkins*,@Cin,W 13-9,0/0,0,0,0,0,0,0,6.4,83.2,0.4,17
Ezekiel Elliott,@Den,L 17-42,0/0,0,0,0,16.1,73.9,0.5,3.5,26.2,0.1,16.9
Demaryius Thomas,Dal,W 42-17,0/0,0,0,0,0,0,0,6,79.2,0.5,16.8
Michael Crabtree,NYJ,W 45-20,0/0,0,0,0,0,0,0,5.7,73.6,0.6,16.7
Devonta Freeman,GB,W 34-23,0/0,0,0,0,11.4,49.4,0.6,3.6,31.9,0.2,16.5
Emmanuel Sanders*,Dal,W 42-17,0/0,0,0,0,0,0,0,5.7,80.4,0.4,16.3
Amari Cooper,NYJ,W 45-20,0/0,0,0,0,0.2,1.4,0,5.4,77.9,0.5,16.3
Greg Olsen,Buf,W 9-3,0/0,0,0,0,0,0,0,5.5,76.1,0.5,16.1
Keenan Allen,Mia,L 17-19,0/0,0,0,0,0,0,0,6.2,70.9,0.4,15.8
