PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Rob Gronkowski,Buf,W 37-16,0/0,0,0,0,0,0,0,5.5,81.9,0.8,18.5
Travis Kelce,Mia,W 29-13,0/0,0,0,0,0.1,0.6,0,5.5,70.8,0.5,15.6
Zach Ertz,Oak,W 19-10,0/0,0,0,0,0,0,0,4.8,52.7,0.5,13.1
Jimmy Graham,@Dal,W 21-12,0/0,0,0,0,0,0,0,4.3,51.2,0.5,12.6
Evan Engram*,@Ari,L 0-23,0/0,0,0,0,0,0,0,5.1,54.4,0.3,12.5
Greg Olsen,TB,W 22-19,0/0,0,0,0,0,0,0,4.3,60.3,0.4,12.5
Jack Doyle,@Bal,L 16-23,0/0,0,0,0,0,0,0,5.5,49.2,0.2,11.6
Delanie Walker,LAR,L 23-27,0/0,0,0,0,0,0,0,4.6,51.9,0.3,11.3
Kyle Rudolph,@GB,W 16-0,0/0,0,0,0,0,0,0,4,40.1,0.5,10.7
Charles Clay,@NE,L 16-37,0/0,0,0,0,0,0,0,4.2,41.7,0.2,9.6
Jason Witten,Sea,L 12-21,0/0,0,0,0,0,0,0,4,38.9,0.3,9.6
Jared Cook,@Phi,L 10-19,0/0,0,0,0,0,0,0,3.7,42.5,0.2,9.3
Vernon Davis,Den,W 27-11,0/0,0,0,0,0,0,0,3.1,42.5,0.3,9.2
Austin Hooper,@NO,L 13-23,0/0,0,0,0,0,0,0,3.5,38.2,0.3,8.8
Cameron Brate,@Car,L 19-22,0/0,0,0,0,0,0,0,3.3,37.5,0.3,8.8
Eric Ebron,@Cin,L 17-26,0/0,0,0,0,0,0,0,3.6,35.5,0.3,8.6
Jesse James,@Hou,W 34-6,0/0,0,0,0,0,0,0,3.1,36.2,0.3,8.6
Antonio Gates,@NYJ,W 14-7,0/0,0,0,0,0,0,0,2.7,30.5,0.4,8
Stephen Anderson,Pit,L 6-34,0/0,0,0,0,0,0,0,2.9,35,0.2,7.8
Tyler Kroft,Det,W 26-17,0/0,0,0,0,0,0,0,2.9,29.9,0.3,7.6
Ricky Seals-Jones,NYG,W 23-0,0/0,0,0,0,0,0,0,2.6,37.4,0.2,7.6
Benjamin Watson,Ind,W 23-16,0/0,0,0,0,0,0,0,2.8,28.4,0.2,6.9
Austin Seferian-Jenkins*,LAC,L 7-14,0/0,0,0,0,0,0,0,2.7,24.4,0.2,6.4
Garrett Celek,Jax,W 44-33,0/0,0,0,0,0,0,0,2.4,27.7,0.1,5.9
Marcedes Lewis,@SF,L 33-44,0/0,0,0,0,0,0,0,2.1,23.2,0.3,5.9
Niles Paul,Den,W 27-11,0/0,0,0,0,0,0,0,2.2,25.9,0.2,5.9
David Njoku,@Chi,L 3-20,0/0,0,0,0,0,0,0,2.6,25.2,0.1,5.9
Josh Hill,Atl,W 23-13,0/0,0,0,0,0,0,0,2,21.1,0.2,5.6
Tyler Higbee,@Ten,W 27-23,0/0,0,0,0,0,0,0,2.1,22.4,0.2,5.6
Richard Rodgers*,Min,L 0-16,0/0,0,0,0,0,0,0,2.4,20.7,0.1,5.2
George Kittle,Jax,W 44-33,0/0,0,0,0,0,0,0,2.2,22.7,0.1,5.2
Dion Sims,Cle,W 20-3,0/0,0,0,0,0,0,0,1.8,19.2,0.2,4.9
Virgil Green,@Wsh,L 11-27,0/0,0,0,0,0,0,0,2.1,20.5,0.1,4.9
Jermaine Gresham*,NYG,W 23-0,0/0,0,0,0,0,0,0,1.9,21.1,0.1,4.8
A.J. Derby,@KC,L 13-29,0/0,0,0,0,0,0,0,1.9,19.7,0.1,4.8
Dwayne Allen,Buf,W 37-16,0/0,0,0,0,0,0,0,1.6,16.1,0.2,4.4
Gerald Everett,@Ten,W 27-23,0/0,0,0,0,0,0,0,1.5,18.3,0.2,4.4
Daniel Brown,Cle,W 20-3,0/0,0,0,0,0,0,0,1.6,17.4,0.2,4.3
Xavier Grimble,@Hou,W 34-6,0/0,0,0,0,0,0,0,1.3,16.6,0.1,3.9
Seth DeValve,@Chi,L 3-20,0/0,0,0,0,0,0,0,1.7,16.7,0.1,3.7
