PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Ezekiel Elliott,KC,W 28-17,0/0,0,0,0,22.9,107.3,1,2.8,25.2,0.1,22.5
LeSean McCoy,@NYJ,L 21-34,0/0,0,0,0,19.9,90.3,0.5,5.1,37.8,0.2,21.9
Todd Gurley II,@NYG,W 51-17,0/0,0,0,0,21.3,92.5,0.8,3.6,30.5,0.1,19.9
Mark Ingram,TB,W 30-10,0/0,0,0,0,17.2,75.4,0.8,3.6,27.9,0.2,19.3
Kareem Hunt,@Dal,L 17-28,0/0,0,0,0,16.7,78.3,0.7,2.8,25.6,0.1,17.9
Michael Thomas,TB,W 30-10,0/0,0,0,0,0,0,0,6.2,81.3,0.6,17.8
DeAndre Hopkins*,Ind,L 14-20,0/0,0,0,0,0,0,0,5.9,79.9,0.6,17.4
Carlos Hyde,Ari,L 10-20,0/0,0,0,0,15.9,66.5,0.5,3.7,25.5,0.1,16.6
Lamar Miller,Ind,L 14-20,0/0,0,0,0,18.9,76.4,0.6,2.5,20.1,0.1,16.3
Doug Baldwin,Wsh,L 14-17,0/0,0,0,0,0.2,1.5,0,5.8,72.9,0.5,16.2
Mike Evans,@NO,L 10-30,0/0,0,0,0,0,0,0,5.4,70.7,0.6,16
Dez Bryant,KC,W 28-17,0/0,0,0,0,0,0,0,4.8,69.7,0.7,15.9
Christian McCaffrey,Atl,W 20-17,0/0,0,0,0,5.6,21.9,0.1,5.8,51.8,0.3,15.8
Alvin Kamara,TB,W 30-10,0/0,0,0,0,9.2,38.9,0.4,4.2,38.1,0.2,15.6
A.J. Green,@Jax,L 7-23,0/0,0,0,0,0,0,0,5.6,75,0.4,15.4
Julio Jones,@Car,L 17-20,0/0,0,0,0,0,0,0,5.6,80.1,0.3,15.3
Travis Kelce,@Dal,L 17-28,0/0,0,0,0,0.2,1.1,0,5.4,68.6,0.4,14.7
Jarvis Landry,Oak,L 24-27,0/0,0,0,0,0.2,1.4,0,5.9,62.8,0.3,14
Adrian Peterson*,@SF,W 20-10,0/0,0,0,0,18.4,75.9,0.6,1.3,9.5,0,13.6
Tyreek Hill*,@Dal,L 17-28,0/0,0,0,0,1.1,7.3,0.1,4.8,55.8,0.3,13.6
Devonta Freeman,@Car,L 17-20,0/0,0,0,0,13.1,55.6,0.4,2.6,20.9,0.1,13.3
Chris Thompson*,@Sea,W 17-14,0/0,0,0,0,6.8,32.9,0.1,4.8,38.4,0.1,13.2
Aaron Jones*,Det,L 17-30,0/0,0,0,0,15.3,64.1,0.5,2.1,17.3,0,13.1
Chris Ivory,Cin,W 23-7,0/0,0,0,0,16.1,66.6,0.5,1.8,14,0.1,13
Doug Martin,@NO,L 10-30,0/0,0,0,0,16.6,76.1,0.4,1.6,12.5,0.1,13
DeMarco Murray*,Bal,W 23-20,0/0,0,0,0,13.8,60.2,0.4,2.3,16.3,0.1,12.9
Alshon Jeffery,Den,W 51-23,0/0,0,0,0,0,0,0,4,61.3,0.4,12.5
Demaryius Thomas,@Phi,L 23-51,0/0,0,0,0,0,0,0,5.3,57,0.3,12.4
Michael Crabtree,@Mia,W 27-24,0/0,0,0,0,0,0,0,4.6,54.2,0.4,12.4
Golden Tate,@GB,W 30-17,0/0,0,0,0,0.5,2.7,0,5.1,52.8,0.3,12.4
Evan Engram*,LAR,L 17-51,0/0,0,0,0,0,0,0,4.5,51.9,0.4,12.1
DeSean Jackson*,@NO,L 10-30,0/0,0,0,0,0,0,0,3.9,63.3,0.3,12.1
Jimmy Graham,Wsh,L 14-17,0/0,0,0,0,0,0,0,4,49.9,0.5,12.1
Emmanuel Sanders*,@Phi,L 23-51,0/0,0,0,0,0,0,0,5,56.4,0.2,12
Larry Fitzgerald,@SF,W 20-10,0/0,0,0,0,0,0,0,5,52.1,0.3,12
Jack Doyle,@Hou,W 20-14,0/0,0,0,0,0,0,0,5.1,52.9,0.2,11.8
Jordy Nelson*,Det,L 17-30,0/0,0,0,0,0,0,0,4.3,57.4,0.3,11.8
Joe Mixon,@Jax,L 7-23,0/0,0,0,0,14.3,61.1,0.2,2.4,18.4,0.1,11.7
Sterling Shepard*,LAR,L 17-51,0/0,0,0,0,0.4,2.9,0,4.2,50.5,0.4,11.6
Alex Collins,@Ten,L 20-23,0/0,0,0,0,16.8,72.7,0.3,1.3,10,0,11.4
